azi,aoi,wvl,radius,pitch,mm,dmm,abs pillar,abs substrate,reflected flux,E,H,E air,H air,E Ge,H Ge,E CaF2,H CaF2
8,60,3800,500,4000,"[[0.01570945204319076, -0.0035510279677444558, -0.0002362815066829273, -7.116529392001668e-05], [-0.0035510297035250687, 0.015608962086375279, 0.0010970950053375364, 0.0013721106044440323], [0.00023626504170369403, -0.0010971388603049238, -0.0036811078356561427, 0.01481275609107093], [-7.113333897554503e-05, 0.001372071045959039, -0.014812759601846059, -0.003580617878916981]]","[[ 1.         -0.22604404 -0.01504072 -0.00453009]
 [-0.22604415  0.99360322  0.06983662  0.087343  ]
 [ 0.01503967 -0.06983941 -0.23432439  0.94291997]
 [-0.00452806  0.08734048 -0.9429202  -0.22792761]]","[1.672078044274047e-19, -1.3049296778100832e-19]","[6.372548776438435e-19, -6.980938567646078e-19]","[0.015638286740757325, 0.015780617328519875]",,,"[2.258994202832868e-25, 2.228321318711875e-25]","[2.294221282043209e-25, 2.265432217192696e-25]","[1.926114437469497e-26, 1.605310806546588e-26]","[1.942637005570496e-26, 1.593644849427066e-26]","[5.09582128335088e-26, 5.061958591271805e-26]","[5.055501337197044e-26, 5.026118374425798e-26]"
9,60,3800,500,4000,"[[0.016951813493493215, -0.002081968672713877, -6.019777085485023e-05, -0.00010804503748845459], [-0.002081969808440818, 0.016835621822515943, 0.0012059618621213545, 0.001567221037973818], [6.018865235282733e-05, -0.0012059999978440128, -0.004334197223834112, 0.016210429074094732], [-0.00010802823136851986, 0.0015671901833734356, -0.016210431945075005, -0.00421800555289786]]","[[ 1.         -0.12281687 -0.00355111 -0.00637366]
 [-0.12281694  0.99314577  0.07114058  0.09245153]
 [ 0.00355057 -0.07114283 -0.2556775   0.95626519]
 [-0.00637267  0.09244971 -0.95626535 -0.24882326]]","[2.2411769487905595e-19, 3.3451276141510144e-19]","[-3.7479238822994487e-19, 2.480220946433043e-19]","[0.016843768446835085, 0.01705985852169435]",,,"[2.270782813944375e-25, 2.239224599536659e-25]","[2.310968615114945e-25, 2.280816899973196e-25]","[1.99449586825815e-26, 1.676193200878783e-26]","[1.967408615519988e-26, 1.624622198800282e-26]","[5.22221211203189e-26, 5.172980501605383e-26]","[5.1782580302212e-26, 5.132994275682747e-26]"
10,60,3800,500,4000,"[[0.018630568659136565, -4.1764806137956426e-05, 0.0001310187163855029, -0.00010565043085513791], [-4.177049967833517e-05, 0.018464671203943107, 0.001520848772652759, 0.001952612983113846], [-0.000131071598544032, -0.001520840563004193, -0.004621171430581653, 0.01798379867272842], [-0.00010558256497479341, 0.001952619255618875, -0.01798379759311493, -0.0044552739754894115]]","[[ 1.         -0.00224174  0.00703246 -0.00567081]
 [-0.00224204  0.99109542  0.0816319   0.10480694]
 [-0.0070353  -0.08163146 -0.24804243  0.96528447]
 [-0.00566717  0.10480728 -0.96528442 -0.23913784]]","[3.8428827199441536e-19, 2.274888705969921e-19]","[-5.50310609308673e-19, 7.040041480684454e-19]","[0.018524918218196535, 0.018736219079791783]",,,"[2.293690979694521e-25, 2.258001404472534e-25]","[2.33888522086697e-25, 2.304094931683703e-25]","[2.094162511390929e-26, 1.765853132176618e-26]","[2.015661991587025e-26, 1.668223840402639e-26]","[5.470962508408606e-26, 5.352990156856204e-26]","[5.423794866968008e-26, 5.308743160442175e-26]"
11,60,3800,500,4000,"[[0.02006252734615351, 0.0009089776611239664, -0.0007825509334121382, 0.0007734902692016214], [0.0009089789776222101, 0.019795781339451524, 0.0019954263902598967, 0.0023323051751941368], [0.0007825510636641924, -0.001995459555169928, -0.0028923413248201943, 0.019716312509149916], [0.0007734885903199369, 0.0023322762871339454, -0.019716315860524677, -0.002625595318142514]]","[[ 1.          0.04530724 -0.0390056   0.03855398]
 [ 0.0453073   0.98670427  0.09946037  0.11625181]
 [ 0.03900561 -0.09946202 -0.14416635  0.98274321]
 [ 0.0385539   0.11625037 -0.98274338 -0.13087062]]","[-6.6879773971688475e-19, 1.810446593456978e-19]","[-4.599057971636045e-20, 5.937393433668321e-19]","[0.020836017604012096, 0.01928903706645102]",,,"[2.313354531094169e-25, 2.272142841264824e-25]","[2.359380786749852e-25, 2.319374461460921e-25]","[2.156804740447639e-26, 1.847753485019959e-26]","[2.028829374146145e-26, 1.712134792398933e-26]","[5.956082016712604e-26, 5.657209924956348e-26]","[5.907068097195298e-26, 5.610664431900934e-26]"
12,60,3800,500,4000,"[[0.02103467536295566, 0.0013400860815572097, -0.0012582695663123488, 0.0011647265618126745], [0.0013400887733259342, 0.020869748608197264, 0.0012562703398946214, 0.0015469720223049424], [0.001258290301045158, -0.0012562905694815363, -0.003240116489511504, 0.020669508467178948], [0.0011647010643013422, 0.001546953262162145, -0.020669508434470695, -0.003075189734775078]]","[[ 1.          0.06370843 -0.05981883  0.05537174]
 [ 0.06370856  0.99215929  0.05972378  0.0735439 ]
 [ 0.05981981 -0.05972474 -0.15403691  0.98263977]
 [ 0.05537053  0.07354301 -0.98263976 -0.14619621]]","[-2.246849540063244e-19, 1.4636959422247444e-19]","[3.430536206616446e-19, 1.2014906184820558e-20]","[0.02219940191268307, 0.01986994879032587]",,,"[2.303248396013291e-25, 2.275445269327047e-25]","[2.352812969797379e-25, 2.327062146048298e-25]","[2.110405358910408e-26, 1.905104581668766e-26]","[1.943830694535746e-26, 1.726846765850716e-26]","[5.867753549415806e-26, 5.754042105499831e-26]","[5.817553454863285e-26, 5.704156637695742e-26]"
13,60,3800,500,4000,"[[0.022745630037232976, 0.002954993325113897, -0.001579531698239663, 0.0013981859962115869], [0.0029549728511651316, 0.02263278398494868, 0.0004144863680751548, 0.0007064067283899206], [0.0015795033988307125, -0.00041417610622770224, -0.003899603726082348, 0.022165248378778292], [0.001398261234238079, 0.0007066743016478313, -0.022165244595749665, -0.003786757675718785]]","[[ 1.          0.12991477 -0.0694433   0.06147053]
 [ 0.12991387  0.99503878  0.01822268  0.03105681]
 [ 0.06944206 -0.01820904 -0.17144408  0.97448382]
 [ 0.06147384  0.03106857 -0.97448365 -0.16648287]]","[1.4341358298009245e-19, 3.668588010649384e-19]","[5.839387111072163e-19, 8.08890727065801e-19]","[0.02414381602030078, 0.02134744402939993]",,,"[2.309100354716046e-25, 2.294320945422304e-25]","[2.363326278434736e-25, 2.352209648250525e-25]","[2.105795889172049e-26, 2.006730219406699e-26]","[1.892001835913535e-26, 1.769508669739417e-26]","[5.884594566284877e-26, 5.966182303817567e-26]","[5.831783365799712e-26, 5.910808511846778e-26]"
14,60,3800,500,4000,"[[0.026979688451323453, 0.007059266755366592, -0.0034129311706015456, 0.0024065366654550694], [0.007059273380704655, 0.026639598254361498, -0.0008630115854387625, -0.00022623090582945897], [0.0034129746958792154, 0.000862939424245831, -0.00776140405859981, 0.024724383971568495], [0.002406455501901086, -0.0002262994240708764, -0.024724375444638055, -0.007421313861809289]]","[[ 1.          0.26165116 -0.12650002  0.08919809]
 [ 0.2616514   0.98739458 -0.03198746 -0.00838523]
 [ 0.12650163  0.03198478 -0.28767582  0.91640732]
 [ 0.08919508 -0.00838777 -0.916407   -0.27507041]]","[-3.9124473676741534e-19, 3.7172427909221684e-19]","[-3.465576377736078e-19, 9.486866599236885e-19]","[0.0293862251007808, 0.024573151772490864]",,,"[2.332585458338504e-25, 2.324231892245391e-25]","[2.400555135096644e-25, 2.399926889274943e-25]","[2.13949565549534e-26, 2.172074896228148e-26]","[1.828955218570699e-26, 1.830613204604625e-26]","[5.827114244646601e-26, 5.990283989489613e-26]","[5.766620899911558e-26, 5.923897650373363e-26]"
15,60,3800,500,4000,"[[0.026229266002209636, 0.005771583884998143, -0.0037606804581461397, 0.0024655636030131486], [0.005771565160175107, 0.025835565190406203, -0.0005015786471513706, 0.00015635739654591588], [0.0037606528540415473, 0.0005017542434617992, -0.010148819132097439, 0.023352381374841975], [0.0024656495378698458, 0.00015648513451466768, -0.023352389592444102, -0.009755118320825056]]","[[ 1.          0.22004367 -0.14337727  0.09400048]
 [ 0.22004295  0.98499002 -0.01912286  0.00596118]
 [ 0.14337621  0.01912956 -0.3869273   0.89031776]
 [ 0.09400376  0.00596605 -0.89031807 -0.37191732]]","[1.3584018929426328e-20, 1.73721129278224e-20]","[-1.0268702128631578e-19, 2.9046678373799046e-19]","[0.028694829589601446, 0.023763702386259633]",,,"[2.296569592457502e-25, 2.280075926832534e-25]","[2.370771539889972e-25, 2.359298621744071e-25]","[2.023926431236166e-26, 2.071981726722455e-26]","[1.689545754079573e-26, 1.744740338330989e-26]","[5.558803730373432e-26, 5.553659016087388e-26]","[5.495976719614612e-26, 5.483671725079243e-26]"
16,60,3800,500,4000,"[[0.02581485290524316, 0.005159449278396996, -0.0036624193273771667, 0.0022843707511169117], [0.005159464847101988, 0.02544747300494175, -0.00042096552599396207, 0.00015502194055148867], [0.003662289643083211, 0.0004208027358468499, -0.011127365108767353, 0.02259584220223736], [0.0022845434940354805, 0.0001549457372813515, -0.022595860189347585, -0.010759985209236156]]","[[ 1.          0.19986359 -0.14187256  0.08849056]
 [ 0.1998642   0.98576866 -0.01630711  0.00600515]
 [ 0.14186754  0.0163008  -0.43104507  0.87530393]
 [ 0.08849725  0.00600219 -0.87530463 -0.41681373]]","[1.7013447278490955e-19, -1.9871150238294428e-19]","[1.544932172457254e-19, 3.362833949893625e-19]","[0.02809922364106297, 0.02353048214131636]",,,"[2.277954339269961e-25, 2.26255806704654e-25]","[2.354882300824897e-25, 2.342879450074452e-25]","[1.944189200739582e-26, 2.02914539286754e-26]","[1.597657341329414e-26, 1.707010633033957e-26]","[5.450991858564403e-26, 5.421154791799684e-26]","[5.38878030290634e-26, 5.350936834607849e-26]"
17,60,3800,500,4000,"[[0.025479726494899525, 0.004757853662688317, -0.003405108183760685, 0.0020506410195759643], [0.0047578616178664025, 0.025164379621673408, -0.00040992290791771156, 5.107920991361805e-05], [0.0034051113781654214, 0.00040983734499803093, -0.011612198530503154, 0.02207630092614212], [0.002050617257647141, 5.102477394787193e-05, -0.022076298844822366, -0.011296851657384246]]","[[ 1.          0.18673096 -0.1336399   0.08048128]
 [ 0.18673127  0.98762362 -0.0160882   0.0020047 ]
 [ 0.13364003  0.01608484 -0.45574267  0.86642613]
 [ 0.08048035  0.00200256 -0.86642605 -0.44336628]]","[-2.740288141526972e-21, 7.936004289481747e-19]","[1.2755777730711602e-19, 2.811530158192357e-19]","[0.027530367499488072, 0.02342908546256887]",,,"[2.266428248601379e-25, 2.25415339245819e-25]","[2.344848478704645e-25, 2.334782199339445e-25]","[1.874166113192444e-26, 2.003080813086791e-26]","[1.5216532259107e-26, 1.685708912804853e-26]","[5.381325101667048e-26, 5.357373456017983e-26]","[5.320651102726209e-26, 5.288116418318242e-26]"
