azi,aoi,wvl,radius,pitch,mm,dmm,abs pillar,abs substrate,reflected flux,E,H,E air,H air,E Ge,H Ge,E CaF2,H CaF2
10,60,3050,500,4000,"[[0.018896067275294987, -0.013278161953589347, -0.0012923619443501685, 0.002756041142093664], [-0.013278163708528364, 0.017339596862484416, 0.0019604114945609846, -0.006579560040276433], [0.0012924444774663323, -0.001960612348491417, -0.011546592648920518, -0.005999035054138279], [0.0027559939840377415, -0.0065794966498828895, 0.0059990829133877936, -0.009990122236846739]]","[[ 1.         -0.70269447 -0.06839317  0.14585263]
 [-0.70269456  0.91762993  0.10374706 -0.34819732]
 [ 0.06839754 -0.10375769 -0.61105798 -0.31747532]
 [ 0.14585014 -0.34819397  0.31747786 -0.52868791]]","[-1.2000816670872369e-18, 7.283462997286653e-19]","[2.445090058498529e-20, 4.921435487239314e-19]","[0.021652108405601337, 0.016140026124414758]",,,"[2.372696240273949e-25, 2.360165708134315e-25]","[2.337724667766747e-25, 2.318407393111609e-25]","[2.435606802142438e-26, 2.475491033381775e-26]","[2.524188095009364e-26, 2.627527474764275e-26]","[4.696288683544884e-26, 4.713418044941783e-26]","[4.672051583974867e-26, 4.68985193422589e-26]"
11,60,3050,500,4000,"[[0.018474926618241606, -0.011885483449156964, -0.0016338361828321436, 0.002692803939523088], [-0.011885503250622513, 0.01657589538521809, 0.0017511924130717035, -0.007319548335208231], [0.001633853351799977, -0.00175127168169515, -0.01304176514198711, -0.004433110561842114], [0.0026927061208903624, -0.007319497216036632, 0.004433135547912681, -0.011142733909231203]]","[[ 1.         -0.64333048 -0.08843533  0.14575451]
 [-0.64333155  0.89721035  0.09478752 -0.39618822]
 [ 0.08843626 -0.09479181 -0.70591702 -0.23995281]
 [ 0.14574922 -0.39618546  0.23995416 -0.60312737]]","[5.251092939775161e-19, -3.02178626376109e-20]","[-3.3709857075805576e-19, -2.521482009101223e-19]","[0.021167730546241076, 0.015782122670126804]",,,"[2.407453682350969e-25, 2.395975980040175e-25]","[2.370704304475161e-25, 2.351055751149325e-25]","[2.423712820861586e-26, 2.510741456103475e-26]","[2.51606506518238e-26, 2.677158140045225e-26]","[4.735261589549127e-26, 4.765851836471947e-26]","[4.7097679668068e-26, 4.741870084212518e-26]"
12,60,3050,500,4000,"[[0.01793092221441172, -0.009760497539048469, -0.0021787521615069614, 0.00242847090248001], [-0.009760501815538924, 0.0156068829900194, 0.0014020940764984512, -0.008082880586256292], [0.0021787683341914087, -0.0014021524840051687, -0.014547440749229337, -0.0025998451602709453], [0.002428439204514016, -0.008082865290307736, 0.002599863106709684, -0.012223401524910246]]","[[ 1.         -0.54433885 -0.12150809  0.1354348 ]
 [-0.54433909  0.87038931  0.0781942  -0.45077886]
 [ 0.12150899 -0.07819746 -0.81130466 -0.14499227]
 [ 0.13543303 -0.450778    0.14499327 -0.68169397]]","[-7.354934996846048e-19, -5.484561852893858e-19]","[-3.687777785108063e-19, -1.5423254083981438e-18]","[0.020359393105808164, 0.015502451303492242]",,,"[2.460205075057714e-25, 2.4541245918425e-25]","[2.420848892543812e-25, 2.40556130117766e-25]","[2.377194905860894e-26, 2.535133937520848e-26]","[2.478954485616736e-26, 2.718109102497653e-26]","[4.788501872645438e-26, 4.845822659741216e-26]","[4.76202818085602e-26, 4.821525820780563e-26]"
13,60,3050,500,4000,"[[0.01662538434911435, -0.006918062165413744, -0.002551156027130624, 0.0018369082699602971], [-0.006917979094706712, 0.014205136952407046, 0.0007979285843636478, -0.008006061482192612], [0.0025512939268582027, -0.0007984977540145095, -0.014967868203879091, -0.0007039993136335013], [0.0018370295957114854, -0.008006076516556443, 0.0007041449030983916, -0.012547620812976367]]","[[ 1.         -0.41611442 -0.15344945  0.11048817]
 [-0.41610942  0.85442457  0.04799459 -0.48155647]
 [ 0.15345774 -0.04802883 -0.90030209 -0.04234484]
 [ 0.11049547 -0.48155738  0.0423536  -0.75472666]]","[6.115478657953776e-19, 1.920130547031966e-19]","[-4.871888285098399e-19, 3.220228692843085e-20]","[0.018462292609023857, 0.014788476071103274]",,,"[2.545215619695035e-25, 2.544253480401003e-25]","[2.502218870045845e-25, 2.492616693930159e-25]","[2.26454173743402e-26, 2.493031440643794e-26]","[2.39121537521858e-26, 2.693228141648106e-26]","[4.829380718064527e-26, 4.798226623912291e-26]","[4.802713570333185e-26, 4.774193172830159e-26]"
14,60,3050,500,4000,"[[0.013122753185357616, -0.002045510454883082, -0.00174625623398037, 0.0007437993049767438], [-0.002045591743881146, 0.010809715114481633, -0.0003505582011881121, -0.007185506494043412], [0.0017462986836982732, 0.00035032840008222864, -0.012830580094921365, 0.001650131338581285], [0.0007434760160988114, -0.00718549456049181, -0.001650037609292884, -0.010517542027372843]]","[[ 1.         -0.1558751  -0.13307087  0.05668013]
 [-0.15588129  0.82373835 -0.02671377 -0.5475609 ]
 [ 0.13307411  0.02669626 -0.97773538  0.12574582]
 [ 0.05665549 -0.54755999 -0.12573868 -0.80147374]]","[-2.955547770861744e-19, 3.3421300676873296e-19]","[1.659673229509772e-20, 5.244879860256517e-19]","[0.013866552482785474, 0.012378953873641825]",,,"[2.72508045913639e-25, 2.736520214656064e-25]","[2.678362616239585e-25, 2.685519364059535e-25]","[2.020103363769175e-26, 2.313852344243272e-26]","[2.190282254601668e-26, 2.514262040341075e-26]","[4.911265346634025e-26, 4.864047148057014e-26]","[4.887337429803252e-26, 4.841404406018999e-26]"
15,60,3050,500,4000,"[[0.16163936698908735, -0.054399488552107904, -0.08998085393925362, -0.009162747206933261], [-0.03788291426192635, -0.047895748788556784, 0.10304189140641479, -0.05925328387722516], [0.09364163078227469, -0.12213706037494262, -0.0938974684212718, -0.0046935611740149576], [-0.030593204444877294, -0.02711661261235409, 0.06041240525743588, 0.10741715581570477]]","[[ 1.         -0.33654851 -0.5566766  -0.05668636]
 [-0.23436688 -0.2963124   0.63748017 -0.36657706]
 [ 0.57932441 -0.75561457 -0.58090718 -0.02903724]
 [-0.18926828 -0.16775995  0.37374809  0.66454823]]","[6.803052823064378e-20, 3.2837580236924833e-19]","[1.7024849668715973e-19, 4.20312061362393e-19]","[0.0311189036155602, 0.03485894779536529]",,,"[2.71812980646843e-25, 2.737359443686225e-25]","[2.685352882299677e-25, 2.703753279723492e-25]","[1.594880949854213e-26, 1.663606705405585e-26]","[1.708128595148928e-26, 1.784962351920048e-26]","[4.658332676649913e-26, 4.678449642244954e-26]","[4.639048520160502e-26, 4.658398903952623e-26]"
16,60,3050,500,4000,"[[0.08257414277345616, -0.029905324611511783, -0.053913213678649326, -0.003456609326536894], [-0.02059093575470881, -0.02193850238228383, 0.04559671953230974, -0.029482295938820374], [0.0543054976930639, -0.05762141244964388, -0.05130610716554316, 0.0014564106469062595], [-0.02097230274361834, -0.009918731678277828, 0.03465306627161027, 0.046327088184936936]]","[[ 1.         -0.36216331 -0.65290673 -0.04186067]
 [-0.249363   -0.26568247  0.55219126 -0.35704029]
 [ 0.65765742 -0.69781424 -0.62133382  0.01763761]
 [-0.25398148 -0.1201191   0.41966002  0.56103626]]","[-2.9530714710634354e-19, -5.844687170968943e-19]","[-5.390305368186871e-19, 8.388236772050246e-19]","[0.028580995072565233, 0.031078376621898173]",,,"[2.744557472538125e-25, 2.729962295071917e-25]","[2.703650828720492e-25, 2.683006513412119e-25]","[1.991575935598868e-26, 1.76899399585401e-26]","[2.134643187864117e-26, 1.978710015876325e-26]","[4.760199663777835e-26, 4.870111608267173e-26]","[4.740257939403384e-26, 4.848830038218822e-26]"
17,60,3050,500,4000,"[[0.058137518741804214, -0.01879924737885887, -0.03993523088889604, -0.003274412688356829], [-0.015530567563763129, -0.00926551529947258, 0.029178688927425266, -0.026925226208954996], [0.03786270921680819, -0.03875223066133095, -0.03651732214769939, -0.004398805520560392], [-0.016857427695987824, -0.013668997251326403, 0.028825802688322938, 0.026218684575728783]]","[[ 1.         -0.32335827 -0.68690979 -0.05632185]
 [-0.26713503 -0.15937239  0.50189085 -0.46312995]
 [ 0.65126118 -0.66656148 -0.62811972 -0.07566208]
 [-0.28995781 -0.23511491  0.495821    0.45097701]]","[-4.102605270567072e-19, -1.2741122848210453e-18]","[1.8110717379438656e-19, 6.389880490468916e-19]","[0.02566884464303804, 0.028732848730329136]",,,"[2.541219422839406e-25, 2.563778419154401e-25]","[2.492850039475244e-25, 2.521447197208009e-25]","[2.246943021265003e-26, 2.015872215406136e-26]","[2.430301778940873e-26, 2.155135522649494e-26]","[4.685125299172431e-26, 4.832546679433375e-26]","[4.663234633188549e-26, 4.803369943526526e-26]"
18,60,3050,500,4000,"[[0.0450348174465099, -0.013166823507830345, -0.029887653273184857, -0.0029861303760013256], [-0.011572695579545874, -0.004245965645860019, 0.021746581831740282, -0.024404220653402635], [0.027694400840170132, -0.03003307951110092, -0.027853496861866257, -0.006461999218155021], [-0.013215404390864946, -0.014350327538211237, 0.02443606878638769, 0.018004841109562762]]","[[ 1.         -0.29236987 -0.66365659 -0.06630715]
 [-0.25697219 -0.09428184  0.48288376 -0.54189674]
 [ 0.61495533 -0.66688578 -0.61848806 -0.14348896]
 [-0.29344861 -0.31864962  0.54260393  0.39979825]]","[4.763885815068635e-20, -3.089065589700216e-19]","[-4.772483345754057e-19, -1.5440616768233976e-21]","[0.023291938724550924, 0.02660014026838106]",,,"[2.453133476306271e-25, 2.484393625002659e-25]","[2.407127550269829e-25, 2.44779918393504e-25]","[2.270771858181661e-26, 2.158637808678646e-26]","[2.438803458478702e-26, 2.251557712701106e-26]","[4.639554392239344e-26, 4.782439852945817e-26]","[4.616603615099737e-26, 4.751215381021754e-26]"
19,60,3050,500,4000,"[[0.035826271836909215, -0.009975361578804506, -0.022506377853115194, -0.002473655222698592], [-0.008816623534868808, -0.0014886245342011044, 0.01704245817439132, -0.0213642076333794], [0.020853771928338552, -0.024221183728246116, -0.02168989592615606, -0.007008593156295527], [-0.00997753469856676, -0.013490144376649804, 0.020420528372940852, 0.013112098428718879]]","[[ 1.         -0.27843705 -0.62820876 -0.06904585]
 [-0.2460938  -0.0415512   0.47569723 -0.59632796]
 [ 0.58208044 -0.67607324 -0.60541873 -0.1956272 ]
 [-0.27849771 -0.37654335  0.56998754  0.36599115]]","[7.278091351857041e-19, 3.6084281455966973e-19]","[2.0067711338961243e-19, -2.0926319473421687e-19]","[0.020942463150029334, 0.024048932063486066]",,,"[2.39854902973215e-25, 2.431633465502145e-25]","[2.356288249920379e-25, 2.399065609117955e-25]","[2.234539318617895e-26, 2.228070651491673e-26]","[2.383740875896165e-26, 2.297873418769947e-26]","[4.60376318280883e-26, 4.729635942056458e-26]","[4.580718067027576e-26, 4.699446229725817e-26]"
