azi,aoi,wvl,radius,pitch,mm,dmm,abs pillar,abs substrate,reflected flux,E,H,E air,H air,E Ge,H Ge,E CaF2,H CaF2
10,60,5450,500,4000,"[[0.014759089050493803, -0.007156410627151556, -5.229072911014315e-05, -1.8814347804665168e-06], [-0.007156410555371548, 0.014758511276833707, 7.571954437577635e-05, 9.263992150115722e-05], [5.23001482127811e-05, -7.572661115616005e-05, -0.004828651231210242, 0.011970584227557497], [-1.8926222638424245e-06, 9.263969016263176e-05, -0.011970584231111397, -0.004828073457554616]]","[[ 1.00000000e+00 -4.84881594e-01 -3.54295099e-03 -1.27476349e-04]
 [-4.84881589e-01  9.99960853e-01  5.13036707e-03  6.27680483e-03]
 [ 3.54358918e-03 -5.13084587e-03 -3.27164584e-01  8.11065248e-01]
 [-1.28234355e-04  6.27678916e-03 -8.11065249e-01 -3.27125437e-01]]","[-6.24466591730267e-20, -3.6711700778721516e-20]","[-9.812159162043252e-20, 1.45732684048348e-19]","[0.014757207607679571, 0.014760970477238454]",,,"[2.182461457838305e-25, 2.184311812581429e-25]","[2.176626954730519e-25, 2.178492530201373e-25]","[1.061822855883525e-26, 1.046889843254881e-26]","[8.623931849964744e-27, 8.314244896305095e-27]","[4.629439741964996e-26, 4.603474550622052e-26]","[4.59003198269028e-26, 4.570643652315549e-26]"
11,60,5450,500,4000,"[[0.014780412759545718, -0.007094290929846408, -6.110356205612696e-05, 7.091119859394522e-07], [-0.007094291012045425, 0.014779694460640855, 8.459662108941276e-05, 0.00010170261793985224], [6.109395008757588e-05, -8.457992338757185e-05, -0.004818427910984798, 0.012037742087744063], [7.149202330492606e-07, 0.00010171077164098688, -0.01203774201919712, -0.0048177096120879115]]","[[ 1.00000000e+00 -4.79979216e-01 -4.13409037e-03  4.79764671e-05]
 [-4.79979222e-01  9.99951402e-01  5.72356283e-03  6.88090513e-03]
 [ 4.13344005e-03 -5.72243311e-03 -3.26000903e-01  8.14438831e-01]
 [ 4.83694363e-05  6.88145678e-03 -8.14438826e-01 -3.25952305e-01]]","[1.3473583074961794e-20, 8.989541655428435e-20]","[-1.297960899434209e-19, 3.014959792233746e-19]","[0.014781121863484873, 0.014779703639513768]",,,"[2.182492002265055e-25, 2.184529838301078e-25]","[2.177153183823849e-25, 2.179188929613509e-25]","[1.066243924048906e-26, 1.049466434397467e-26]","[8.630868805812932e-27, 8.287529030135694e-27]","[4.632802122875738e-26, 4.603614305263508e-26]","[4.592774429888673e-26, 4.570806061513959e-26]"
12,60,5450,500,4000,"[[0.014806173675586077, -0.007023017055289743, -7.11122689778943e-05, 4.236954513872095e-06], [-0.007023017064870855, 0.014805289439185347, 9.393275294039114e-05, 0.00011083952130831128], [7.111121136108726e-05, -9.393302363111285e-05, -0.0048073235963405885, 0.012115312983066699], [4.238823528296794e-06, 0.0001108386848250249, -0.01211531299137319, -0.0048064393599399485]]","[[ 1.00000000e+00 -4.74330317e-01 -4.80287956e-03  2.86161341e-04]
 [-4.74330318e-01  9.99940279e-01  6.34416123e-03  7.48603412e-03]
 [ 4.80280813e-03 -6.34417951e-03 -3.24683723e-01  8.18260899e-01]
 [ 2.86287573e-04  7.48597762e-03 -8.18260900e-01 -3.24624002e-01]]","[-2.3892229430164204e-20, 4.147410454745365e-20]","[2.4057283875555455e-19, 2.6371001590020693e-20]","[0.014810410622037222, 0.014801936713014087]",,,"[2.182554232473775e-25, 2.18478131635965e-25]","[2.177782022549255e-25, 2.179982536532476e-25]","[1.071268691357918e-26, 1.052519398929859e-26]","[8.637072061130537e-27, 8.259210902213197e-27]","[4.636641150380009e-26, 4.604006306572952e-26]","[4.595964336196287e-26, 4.571184680041264e-26]"
13,60,5450,500,4000,"[[0.01483726440093571, -0.006941411419768636, -8.267208940596458e-05, 8.935877696243465e-06], [-0.006941411192523662, 0.014836181170796575, 0.00010389531498971494, 0.00012013015866054036], [8.269249535395589e-05, -0.00010393140519886568, -0.004795329394050041, 0.012204718767544935], [8.923580600377789e-06, 0.00012011206980005513, -0.01220471893658155, -0.004794246163947933]]","[[ 1.00000000e+00 -4.67836336e-01 -5.57192264e-03  6.02259113e-04]
 [-4.67836321e-01  9.99926993e-01  7.00232281e-03  8.09651668e-03]
 [ 5.57329796e-03 -7.00475522e-03 -3.23194982e-01  8.22572035e-01]
 [ 6.01430315e-04  8.09529753e-03 -8.22572046e-01 -3.23121974e-01]]","[-2.69715426283072e-20, 9.31333563432879e-20]","[-3.561813804108578e-19, -1.130432361896601e-19]","[0.014846200270549734, 0.014828328515166979]",,,"[2.182657119463099e-25, 2.18507499455674e-25]","[2.1785307511076e-25, 2.18088916261995e-25]","[1.076983764540984e-26, 1.056112793101195e-26]","[8.642537468592434e-27, 8.229152416389325e-27]","[4.641067330214674e-26, 4.60471315337292e-26]","[4.599712521917599e-26, 4.571840251308651e-26]"
14,60,5450,500,4000,"[[0.014874834995470565, -0.006847891268013913, -9.586862382575582e-05, 1.4946068481904936e-05], [-0.006847890253550816, 0.014873512394795391, 0.00011452389002754941, 0.00012962018012019374], [9.59546321739873e-05, -0.00011461370588265152, -0.004782527833436235, 0.012307769320969764], [1.4858681860235347e-05, 0.0001295943855660328, -0.01230776948679135, -0.004781205233160512]]","[[ 1.00000000e+00 -4.60367545e-01 -6.44502099e-03  1.00478886e-03]
 [-4.60367477e-01  9.99911085e-01  7.69917045e-03  8.71405835e-03]
 [ 6.45080313e-03 -7.70520856e-03 -3.21518043e-01  8.27422242e-01]
 [ 9.98914063e-04  8.71232424e-03 -8.27422253e-01 -3.21429127e-01]]","[7.387525833640585e-21, -8.059246285456641e-20]","[5.622408618211664e-19, -3.113455367399183e-19]","[0.014889781055846533, 0.014859888918898993]",,,"[2.182813723831097e-25, 2.185420681745791e-25]","[2.179423267166398e-25, 2.181926817586789e-25]","[1.08351467946021e-26, 1.060327335068933e-26]","[8.64729069223936e-27, 8.197183735905366e-27]","[4.6462322972468e-26, 4.60581552468931e-26]","[4.604170924727801e-26, 4.572851360202718e-26]"
15,60,5450,500,4000,"[[0.01492054457864461, -0.006740623642395244, -0.00011132714836640427, 2.2488635346458616e-05], [-0.006740624154203997, 0.014918927434500559, 0.00012615364998354542, 0.00013945397506312], [0.00011128794976447446, -0.0001261139527732725, -0.004769076124705513, 0.012426831340195402], [2.252920548355152e-05, 0.00013946514138069005, -0.01242683128836725, -0.004767458980643285]]","[[ 1.         -0.45176794 -0.00746133  0.00150723]
 [-0.45176797  0.99989162  0.00845503  0.00934644]
 [ 0.00745871 -0.00845237 -0.31963151  0.83286714]
 [ 0.00150995  0.00934719 -0.83286714 -0.31952312]]","[-1.1891888603868882e-20, -2.2698894815799898e-20]","[-1.9437152526861836e-19, -6.126006307885114e-21]","[0.014943033205856132, 0.014898055935187705]",,,"[2.183038875378503e-25, 2.185835284436333e-25]","[2.180485918706825e-25, 2.183122398477943e-25]","[1.090982534948027e-26, 1.065262408331015e-26]","[8.651294235135493e-27, 8.163107746344871e-27]","[4.652328849755429e-26, 4.607430444013067e-26]","[4.609534195165825e-26, 4.574332747887659e-26]"
16,60,5450,500,4000,"[[0.014976470386487986, -0.006617327156128303, -0.00012930865987537856, 3.207394189924332e-05], [-0.0066173278601794, 0.014974485187274678, 0.00013883320972042095, 0.00014981256264868966], [0.00012926839875767056, -0.00013874550827707737, -0.004754941428762071, 0.01256486725320818], [3.209097189201368e-05, 0.00014986270419354235, -0.012564866698747363, -0.004752956229751035]]","[[ 1.         -0.44184824 -0.00863412  0.00214162]
 [-0.44184829  0.99986745  0.00927009  0.0100032 ]
 [ 0.00863143 -0.00926423 -0.31749413  0.83897387]
 [ 0.00214276  0.01000654 -0.83897383 -0.31736157]]","[-1.225936309624305e-19, 1.159772469746059e-19]","[1.4095945362652257e-19, -9.925532719964709e-20]","[0.015008544320216638, 0.014944396436453074]",,,"[2.183355110725125e-25, 2.186337767619726e-25]","[2.181758615897465e-25, 2.18450816472072e-25]","[1.099594321761651e-26, 1.071048806895402e-26]","[8.654598056928127e-27, 8.126688173481836e-27]","[4.659636234691533e-26, 4.609721948716183e-26]","[4.616083887902458e-26, 4.576446417587831e-26]"
17,60,5450,500,4000,"[[0.015045223157454189, -0.006474423053697853, -0.00015065709057534297, 4.418560919081648e-05], [-0.006474423749474114, 0.015042765381714774, 0.00015291466330772784, 0.00016101464692625146], [0.00015061949057129474, -0.0001528513249685902, -0.0047404841039795495, 0.012725685412411146], [4.421183732933684e-05, 0.00016104680603616157, -0.012725685096565317, -0.004738026328358915]]","[[ 1.         -0.43033081 -0.01001362  0.00293685]
 [-0.43033086  0.99983664  0.01016367  0.01070204]
 [ 0.01001112 -0.01015946 -0.31508234  0.84582896]
 [ 0.0029386   0.01070418 -0.84582894 -0.31491898]]","[-4.854191777980892e-20, -1.1370659129220228e-19]","[4.590448162143085e-19, -2.3444575143652995e-19]","[0.01508940875843039, 0.015001037540096865]",,,"[2.183791430925958e-25, 2.186957030703389e-25]","[2.183291619671263e-25, 2.18613012831627e-25]","[1.109599284584095e-26, 1.077869091976367e-26]","[8.657211620192028e-27, 8.087641491369919e-27]","[4.668546575105034e-26, 4.612932178058275e-26]","[4.624216596629932e-26, 4.579432229849685e-26]"
18,60,5450,500,4000,"[[0.015130745855473226, -0.006307482325464691, -0.00017627171964937403, 5.948880684696147e-05], [-0.0063074844975852164, 0.01512766762799792, 0.00016883880679124637, 0.0001733565718552724], [0.00017615775900968304, -0.0001686995252705698, -0.004725948969456333, 0.012914662387531077], [5.959597302282815e-05, 0.00017341312703834458, -0.012914662122337797, -0.004722870742758819]]","[[ 1.         -0.41686526 -0.0116499   0.00393165]
 [-0.4168654   0.99979656  0.01115866  0.01145724]
 [ 0.01164237 -0.01114945 -0.31234078  0.85353772]
 [ 0.00393873  0.01146098 -0.85353771 -0.31213734]]","[-1.8581430245623412e-19, 2.361366017344713e-20]","[1.666109435497822e-19, 9.328231665162115e-20]","[0.015190234654050677, 0.015071257040421525]",,,"[2.184391737554192e-25, 2.187729805065404e-25]","[2.185158000468353e-25, 2.188047963086066e-25]","[1.121354255520983e-26, 1.085973585444117e-26]","[8.6591925353624e-27, 8.045591526573177e-27]","[4.679650533754467e-26, 4.617418222319405e-26]","[4.634530155379092e-26, 4.583645314043183e-26]"
19,60,5450,500,4000,"[[0.015238845550628967, -0.006110291603823915, -0.0002074535612315548, 7.915742619477157e-05], [-0.006110293882057347, 0.015234927881663796, 0.0001870629650494002, 0.00018739948423415146], [0.00020734943716558933, -0.00018693142278764982, -0.004711788514453223, 0.013139427186194532], [7.925432322685098e-05, 0.00018745645204281902, -0.013139426957680273, -0.0047078708461571455]]","[[ 1.         -0.40096814 -0.01361347  0.00519445]
 [-0.40096829  0.99974292  0.0122754   0.01229749]
 [ 0.01360664 -0.01226677 -0.3091959   0.86223245]
 [ 0.00520081  0.01230122 -0.86223244 -0.30893881]]","[-2.993476445792283e-20, 1.2648815104937751e-19]","[3.749695308904263e-19, -2.1344690240341097e-19]","[0.015318002968484675, 0.01515968811618132]",,,"[2.18522432266398e-25, 2.188715088287596e-25]","[2.187465258333441e-25, 2.190351199579248e-25]","[1.135356512462614e-26, 1.095695512815682e-26]","[8.660628617391201e-27, 8.000018117553634e-27]","[4.693868299429864e-26, 4.623752593938165e-26]","[4.647957172277398e-26, 4.589657347452858e-26]"
