azi,aoi,wvl,radius,pitch,mm,dmm,abs pillar,abs substrate,reflected flux,E,H,E air,H air,E Ge,H Ge,E CaF2,H CaF2
18,60,4250,500,4000,"[[0.013135184003452545, 0.0015358374288973412, 0.0003438736304220914, 0.0001716485114361078], [0.0015358137207074959, 0.013040076961485871, -0.0003227861037726542, 0.0014958193961256841], [-0.00034378791345186007, 0.0003227461651080202, -0.011729325556662685, -0.00569767469583329], [0.0001720319128269784, 0.0014958523559533525, 0.005697677606016881, -0.011634218517695515]]","[[ 1.          0.11692546  0.02617958  0.01306784]
 [ 0.11692365  0.99275937 -0.02457416  0.11387883]
 [-0.02617306  0.02457112 -0.89297002 -0.43377197]
 [ 0.01309703  0.11388134  0.4337722  -0.88572939]]","[1.8861175830210353e-19, 1.694300926140492e-19]","[3.3232639378909037e-19, -2.905516283229656e-19]","[0.013306832507644471, 0.012963535484959146]",,,"[2.263107713911413e-25, 2.263263353679697e-25]","[2.313685909684485e-25, 2.307899978250268e-25]","[1.488360518288698e-26, 1.429119132455963e-26]","[1.356553211228369e-26, 1.373541108377567e-26]","[4.898192673157758e-26, 4.712085860739883e-26]","[4.847002209802625e-26, 4.657811515826248e-26]"
19,60,4250,500,4000,"[[0.013106166240233804, 0.0014723203023902943, 0.00018428064280583495, 0.0001207576103291803], [0.0014723006637394412, 0.01303061489037261, -0.00028748269602956844, 0.0013577272225226522], [-0.00018420595513393394, 0.0002874344261904248, -0.011818863359613088, -0.005460870522122906], [0.0001211104877439867, 0.0013577587378909154, 0.005460870501086801, -0.011743312012304313]]","[[ 1.          0.11233798  0.01406061  0.0092138 ]
 [ 0.11233649  0.99423543 -0.02193492  0.10359454]
 [-0.01405491  0.02193124 -0.90177884 -0.41666422]
 [ 0.00924073  0.10359694  0.41666422 -0.89601427]]","[2.208016516931855e-19, 6.161090619737149e-20]","[1.6243647913989818e-19, -6.391646616621941e-19]","[0.013226923843362307, 0.012985408622835428]",,,"[2.260231247959489e-25, 2.26267455808633e-25]","[2.310571725513479e-25, 2.30749431989263e-25]","[1.481277370155357e-26, 1.436044222051645e-26]","[1.354171480778613e-26, 1.379533181089398e-26]","[4.880846771425371e-26, 4.709258475329826e-26]","[4.829840118456434e-26, 4.655454250551222e-26]"
20,60,4250,500,4000,"[[0.013114055175517536, 0.0014515025284086592, 9.126768233729419e-05, 8.946698153131961e-05], [0.0014514916302167634, 0.013054605466978592, -0.00024781105013581706, 0.0012157068575403217], [-9.121994145583456e-05, 0.00024782569160204876, -0.011946035177953673, -0.0052052278007127155], [8.96921974965271e-05, 0.001215716884808861, 0.005205229334648106, -0.011886585470433433]]","[[ 1.          0.11068297  0.00695953  0.00682222]
 [ 0.11068214  0.99546672 -0.0188966   0.09270259]
 [-0.00695589  0.01889772 -0.91093373 -0.39691977]
 [ 0.00683939  0.09270335  0.39691989 -0.90640045]]","[2.0486913183596406e-19, -1.0432442660061265e-19]","[-6.699655772361266e-19, -5.088770293904363e-19]","[0.013203522149860909, 0.013024588186895688]",,,"[2.25944716342543e-25, 2.26395871925799e-25]","[2.309705626156057e-25, 2.309094128894342e-25]","[1.47452119686735e-26, 1.44503435218861e-26]","[1.35141844729286e-26, 1.387470627164052e-26]","[4.86994071562647e-26, 4.709280329800091e-26]","[4.819105079879243e-26, 4.65581931078425e-26]"
21,60,4250,500,4000,"[[0.013123599022420118, 0.0014420447958733412, 3.9785634139212576e-05, 6.840988224496324e-05], [0.001442032503277792, 0.013078744494433098, -0.00020398389329292832, 0.00106178437566713], [-3.973871881781952e-05, 0.000203834108771515, -0.0120918555772261, -0.004887755601568975], [6.869567450081817e-05, 0.0010618298347809195, 0.004887749734464235, -0.012047001051307222]]","[[ 1.          0.10988181  0.00303161  0.00521274]
 [ 0.10988087  0.99658215 -0.01554329  0.08090649]
 [-0.00302804  0.01553188 -0.92138258 -0.37244018]
 [ 0.00523451  0.08090996  0.37243973 -0.91796473]]","[3.7034008348578283e-19, -2.296363153413527e-19]","[2.4309729027839395e-19, 1.4120436437146618e-19]","[0.013192008897483405, 0.013055189133067966]",,,"[2.260524030194967e-25, 2.267151632499478e-25]","[2.3107577993155e-25, 2.312649597792162e-25]","[1.466298847522796e-26, 1.455670727315481e-26]","[1.347224590358995e-26, 1.397551266388245e-26]","[4.86240171353998e-26, 4.711399611989577e-26]","[4.811772869669607e-26, 4.658195273405511e-26]"
22,60,4250,500,4000,"[[0.013113235327682791, 0.0014255156912196532, 2.2097400178508958e-05, 5.390687571678787e-05], [0.0014255120397661941, 0.013081994583630706, -0.00015595968410993713, 0.0008891739949177352], [-2.206989945379383e-05, 0.0001561097419279667, -0.012240701921033083, -0.004479150012701571], [5.401459318889559e-05, 0.0008891535160903811, 0.0044791553756678695, -0.012209461177654708]]","[[ 1.          0.10870816  0.00168512  0.00411088]
 [ 0.10870788  0.99761762 -0.0118933   0.06780737]
 [-0.00168302  0.01190475 -0.93346162 -0.34157474]
 [ 0.00411909  0.06780581  0.34157515 -0.93107924]]","[1.7888969309663238e-19, 1.1168975627843457e-19]","[1.0477477238081796e-18, -2.2425884826780684e-19]","[0.013167142196231442, 0.013059328444856562]",,,"[2.263585540139563e-25, 2.272585391745922e-25]","[2.313770569153609e-25, 2.318422087723306e-25]","[1.455043964676741e-26, 1.467635188928093e-26]","[1.340616666286472e-26, 1.410027844814806e-26]","[4.856854449522392e-26, 4.715474810929262e-26]","[4.806527878913469e-26, 4.662471394200464e-26]"
23,60,4250,500,4000,"[[0.013060958986402731, 0.0013845855273189088, 3.74499896392484e-05, 4.3307420318011974e-05], [0.0013845822151627432, 0.01304221192172797, -0.00010507059597456299, 0.0006892247795879776], [-3.743067883680006e-05, 0.0001050758509233693, -0.01237171933828502, -0.003949584188700136], [4.342983509530979e-05, 0.0006892306322308119, 0.003949584511558744, -0.012352972273905626]]","[[ 1.          0.10600948  0.00286732  0.00331579]
 [ 0.10600923  0.99856465 -0.00804463  0.05276984]
 [-0.00286584  0.00804503 -0.94722902 -0.30239619]
 [ 0.00332516  0.05277029  0.30239621 -0.94579367]]","[4.334496793582976e-19, -7.415757612262984e-21]","[-1.5728575397529144e-19, 5.877482137163818e-20]","[0.01310426639958684, 0.013017651558997964]",,,"[2.269046972666787e-25, 2.280861046970787e-25]","[2.319057068818633e-25, 2.326919847027009e-25]","[1.438878514014075e-26, 1.480408516129162e-26]","[1.330433242099198e-26, 1.42513557770154e-26]","[4.852491585352824e-26, 4.721569942105778e-26]","[4.802647324405738e-26, 4.66875190544171e-26]"
24,60,4250,500,4000,"[[0.012937995966017347, 0.0012965063421443114, 9.27400324307457e-05, 3.499707804062682e-05], [0.001296505837896378, 0.012929608460939882, -5.3376734900045913e-05, 0.00045198315348764164], [-9.273720392594663e-05, 5.3366252000241926e-05, -0.01245224631201428, -0.0032631732147466925], [3.502324393408183e-05, 0.000451985837757889, 0.003263173123676934, -0.012443858806952469]]","[[ 1.          0.10020921  0.00716804  0.00270498]
 [ 0.10020917  0.99935172 -0.00412558  0.03493456]
 [-0.00716782  0.00412477 -0.96245557 -0.25221628]
 [ 0.00270701  0.03493476  0.25221627 -0.96180729]]","[1.5766645652777532e-19, -1.4074079759815633e-19]","[1.5548445947737807e-19, 2.5148805553189395e-19]","[0.012972993036995527, 0.012902998880952385]",,,"[2.277654228871745e-25, 2.293035784645896e-25]","[2.327203399660506e-25, 2.33905530146656e-25]","[1.415166579168056e-26, 1.492996422171976e-26]","[1.315117216576173e-26, 1.443027943432823e-26]","[4.848594214270286e-26, 4.729976010610404e-26]","[4.799543347403049e-26, 4.677392508289719e-26]"
25,60,4250,500,4000,"[[0.012700336717749516, 0.0011279840925035806, 0.00020378984957189134, 2.656601155216144e-05], [0.0011279833256208982, 0.012697604084223199, -6.392251108022968e-06, 0.0001646955307225988], [-0.00020377293876620763, 6.42846425485472e-06, -0.012425455245712619, -0.002373502179845337], [2.672779914718952e-05, 0.00016469937347754544, 0.0023735037295576624, -0.01242272261273334]]","[[ 1.00000000e+00  8.88152903e-02  1.60460194e-02  2.09175647e-03]
 [ 8.88152299e-02  9.99784838e-01 -5.03313514e-04  1.29678082e-02]
 [-1.60446879e-02  5.06164868e-04 -9.78356363e-01 -1.86884981e-01]
 [ 2.10449532e-03  1.29681108e-02  1.86885103e-01 -9.78141201e-01]]","[1.6165466155530343e-19, -1.4900182926788711e-19]","[1.059897243759129e-19, -3.7616884389360667e-20]","[0.012726902722373206, 0.012673770699297806]",,,"[2.290726171378471e-25, 2.310917984780327e-25]","[2.339260107801936e-25, 2.356392450383205e-25]","[1.379994726661588e-26, 1.50333980931111e-26]","[1.292472471065698e-26, 1.463462975014654e-26]","[4.844350692249297e-26, 4.7411670944334e-26]","[4.796612281507046e-26, 4.688981261016332e-26]"
26,60,4250,500,4000,"[[0.012273314590222482, 0.0008230844889994095, 0.0004029273400874826, 1.3690253135476311e-05], [0.0008230875890337204, 0.012265251157242231, 2.2905121074080434e-05, -0.00018656814983769376], [-0.0004029107179642608, -2.2855706149352788e-05, -0.012184635265525323, -0.0012209517597265393], [1.3989802732293619e-05, -0.00018656053337126307, 0.0012209563190593669, -0.01217657183442998]]","[[ 1.          0.06706293  0.03282955  0.00111545]
 [ 0.06706319  0.99934301  0.00186625 -0.01520112]
 [-0.03282819 -0.00186223 -0.99277462 -0.0994802 ]
 [ 0.00113986 -0.0152005   0.09948057 -0.99211763]]","[-1.8624319148362299e-19, 2.0467249555082815e-19]","[-4.162013369774804e-19, -7.719467516114473e-20]","[0.012287004836668973, 0.012259624330412921]",,,"[2.310723757408354e-25, 2.337864384847424e-25]","[2.357198331886726e-25, 2.381837498010067e-25]","[1.327219156865646e-26, 1.506975937001665e-26]","[1.259322863643082e-26, 1.485077478589736e-26]","[4.838568232549689e-26, 4.755877385616753e-26]","[4.793011119021817e-26, 4.704474265154429e-26]"
27,60,4250,500,4000,"[[0.011515452687650987, 0.0002795758762346558, 0.0007595665137802526, -1.631699804149103e-05], [0.000279575615780109, 0.01147421266152087, 2.0928350452729797e-06, -0.0006090011008602625], [-0.0007595655582990624, -2.061535032996185e-06, -0.011508872742854389, 0.0002703038547363612], [-1.6365865719678518e-05, -0.0006090013271860699, -0.0002703062991415878, -0.01146763271679754]]","[[ 1.00000000e+00  2.42783227e-02  6.59606300e-02 -1.41696540e-03]
 [ 2.42783001e-02  9.96418723e-01  1.81741448e-04 -5.28855545e-02]
 [-6.59605470e-02 -1.79023360e-04 -9.99428599e-01  2.34731419e-02]
 [-1.42120906e-03 -5.28855742e-02 -2.34733542e-02 -9.95847322e-01]]","[-1.5439391055937282e-19, -4.75274301103704e-19]","[-4.0894929438056354e-19, 4.1041069728729193e-19]","[0.011499135683349416, 0.011531769679414635]",,,"[2.343062046912494e-25, 2.381242387376019e-25]","[2.385439006600378e-25, 2.421841768609035e-25]","[1.246313771365003e-26, 1.493393362961076e-26]","[1.21072033207258e-26, 1.503014785166929e-26]","[4.829120182325248e-26, 4.775396998165852e-26]","[4.787253951962158e-26, 4.725636456400187e-26]"
