azi,aoi,wvl,radius,pitch,mm,dmm,abs pillar,abs substrate,reflected flux,E,H,E air,H air,E Ge,H Ge,E CaF2,H CaF2
10,60,3050,500,4000,"[[0.015069178435615501, -0.012255903041983172, -0.000686025829073963, 0.0022529030658295264], [-0.012255892728709814, 0.014368205259488608, -0.00021414009893829097, -0.0038784666950508768], [0.0006861145582496386, 0.0002139718323590682, -0.007762967754116885, 0.0033894065230194227], [0.002252932149885762, -0.003878508571396917, -0.0033893779359155172, -0.007061994578648781]]","[[ 1.         -0.81330931 -0.0455251   0.14950404]
 [-0.81330862  0.95348299 -0.01421047 -0.25737745]
 [ 0.04553099  0.0141993  -0.51515534  0.22492311]
 [ 0.14950597 -0.25738023 -0.22492122 -0.46863833]]","[-3.764066734234854e-19, 6.567504847081179e-21]","[-7.693059332578447e-19, 3.0519967468115024e-19]","[0.01732208149201496, 0.012816275362808847]",,,"[2.181684813340116e-25, 2.181762972196147e-25]","[2.17108698117265e-25, 2.165555124191414e-25]","[2.281666433470664e-26, 2.316585287178981e-26]","[2.360923940721713e-26, 2.452138730977299e-26]","[4.750873349998867e-26, 4.845459555452363e-26]","[4.735601212597502e-26, 4.829836294401662e-26]"
11,60,3050,500,4000,"[[0.014706050890715796, -0.011152572681630129, -0.0006950422656281363, 0.0023123237676229004], [-0.011152583609368182, 0.013863430482728402, -0.0005644710367509549, -0.004233783094010722], [0.0006951202205048533, 0.0005643507186551282, -0.00798270935476185, 0.004743330282476942], [0.0023122476276262764, -0.004233770348036126, -0.004743304542303121, -0.007140088947238469]]","[[ 1.         -0.75836625 -0.04726233  0.15723621]
 [-0.75836699  0.94270247 -0.03838359 -0.28789395]
 [ 0.04726763  0.03837541 -0.54281802  0.32254276]
 [ 0.15723104 -0.28789308 -0.32254101 -0.48552048]]","[1.9924690114884168e-19, -1.16737591586116e-19]","[1.0374076077688746e-19, -2.0235035460913297e-19]","[0.017018374649073967, 0.012393727116345805]",,,"[2.200812155819262e-25, 2.202205030734431e-25]","[2.188576297836122e-25, 2.183378446403036e-25]","[2.26008328097978e-26, 2.34282473835044e-26]","[2.339069392981044e-26, 2.48910054412782e-26]","[4.768519551986535e-26, 4.939874210081971e-26]","[4.752866343834128e-26, 4.924332002297893e-26]"
12,60,3050,500,4000,"[[0.014351920512873123, -0.00933482465993848, -0.0009850117591764821, 0.0024129925743552596], [-0.00933483131644248, 0.013175646749332777, -0.0009996922762085048, -0.004958620114764196], [0.000985065263424865, 0.000999599524910659, -0.00855249655130467, 0.006234729083877629], [0.00241294498108921, -0.004958626282027488, -0.006234705759292087, -0.007376222788014414]]","[[ 1.         -0.65042338 -0.06863275  0.16813029]
 [-0.65042384  0.91804067 -0.06965564 -0.3455022 ]
 [ 0.06863648  0.06964918 -0.59591304  0.43441775]
 [ 0.16812697 -0.34550263 -0.43441613 -0.51395371]]","[-3.5364109373482527e-19, -8.007246125543621e-19]","[5.649374412602366e-19, 5.779401906979158e-20]","[0.016764913078101632, 0.01193892793201836]",,,"[2.230144680289975e-25, 2.240671110823493e-25]","[2.215753129563479e-25, 2.218834203094968e-25]","[2.2170648151964e-26, 2.39033812469514e-26]","[2.29431249832963e-26, 2.54679603953917e-26]","[4.805313344519826e-26, 5.132838495117407e-26]","[4.789215008049348e-26, 5.117104017378265e-26]"
13,60,3050,500,4000,"[[0.013656323417873444, -0.00789254431249191, -0.0015485619921063415, 0.0022360551566048413], [-0.007892447579628387, 0.01253602716695617, -0.0009226308685612449, -0.0045926496283770196], [0.0015485716684607083, 0.0009223136941582356, -0.008433020888930106, 0.006872881274322337], [0.0022363898635709093, -0.004592879565772249, -0.0068728365230650975, -0.007312724643082882]]","[[ 1.         -0.57794064 -0.11339523  0.16373771]
 [-0.57793356  0.91796502 -0.06756071 -0.33630205]
 [ 0.11339594  0.06753748 -0.61751766  0.50327464]
 [ 0.16376222 -0.33631889 -0.50327136 -0.53548268]]","[2.589985939746098e-19, -1.0305097680863227e-19]","[-3.2021193750536683e-19, -6.279285500765354e-19]","[0.015892378565826547, 0.011420268255051462]",,,"[2.272426770424487e-25, 2.284219820872043e-25]","[2.255752792404334e-25, 2.259988901158563e-25]","[2.133627315501015e-26, 2.341898199156145e-26]","[2.227628652929068e-26, 2.509106496722408e-26]","[4.772003573588095e-26, 4.80359049058638e-26]","[4.756100663683292e-26, 4.788270379961506e-26]"
14,60,3050,500,4000,"[[0.011878055576648908, -0.005057967290424015, -0.001192896768336663, 0.0017019599937255425], [-0.005057961012599298, 0.01084128050477346, -0.0014895250625754, -0.004125096648633079], [0.0011929721713604634, 0.0014893132194383032, -0.0069445081348636015, 0.007884442665887724], [0.0017019257987745896, -0.004125180833979904, -0.00788439123861137, -0.005907733064282637]]","[[ 1.         -0.42582452 -0.10042862  0.14328608]
 [-0.42582399  0.91271508 -0.12540142 -0.3472872 ]
 [ 0.10043497  0.12538359 -0.58465025  0.66378227]
 [ 0.1432832  -0.34729429 -0.66377794 -0.49736533]]","[2.3478754965743893e-19, 4.1439925623691104e-19]","[5.180697659650014e-19, 3.7078473676830167e-19]","[0.013580015562981551, 0.010176095577383543]",,,"[2.365931341393248e-25, 2.382546405961045e-25]","[2.345140458279882e-25, 2.355759261312568e-25]","[1.994902942437535e-26, 2.25732072210429e-26]","[2.118409890178004e-26, 2.434767011950033e-26]","[4.803496641695761e-26, 4.802955759505907e-26]","[4.789083595363647e-26, 4.788866772428244e-26]"
15,60,3050,500,4000,"[[0.11900673454374366, -0.042383239475429324, -0.0706735454829589, -0.005437874494479581], [-0.031354143221658554, -0.019394171737259023, 0.06879167230456751, -0.05671505610959836], [0.06672021931823602, -0.09254706890006364, -0.056819209078475326, -0.0003854241310582429], [-0.03722888039604964, -0.014042382178536348, 0.06615116552679381, 0.06445748758620623]]","[[ 1.         -0.35614152 -0.59386173 -0.04569384]
 [-0.26346528 -0.16296701  0.57804857 -0.47657014]
 [ 0.56064238 -0.77766245 -0.47744533 -0.00323867]
 [-0.31283003 -0.11799653  0.55586069  0.54162891]]","[-3.0763268504528883e-19, 6.902794463864922e-19]","[-7.778432022164403e-19, -6.492032869564373e-19]","[0.023178231617748197, 0.025397859682811438]",,,"[2.419624711324024e-25, 2.436803917015992e-25]","[2.404907405536381e-25, 2.42043627194324e-25]","[1.712054820257412e-26, 1.796933155995398e-26]","[1.822342956629756e-26, 1.924636145825956e-26]","[4.653713575307962e-26, 4.686982370624721e-26]","[4.642130820310615e-26, 4.674745783889146e-26]"
16,60,3050,500,4000,"[[0.06912838410780192, -0.026769247503704283, -0.04622479546316205, -0.0006404443139184854], [-0.02141246810014342, -0.006278135592256477, 0.03610463326468778, -0.032257297676000836], [0.04296249039118054, -0.050421775717677406, -0.03503764621470626, -0.000884564713530829], [-0.02344067246674112, -0.007734413474005898, 0.0391222380888092, 0.02973370904780472]]","[[ 1.         -0.3872396  -0.6686804  -0.00926456]
 [-0.30974929 -0.09081849  0.52228377 -0.46662884]
 [ 0.62148842 -0.72939324 -0.50684891 -0.01279597]
 [-0.33908897 -0.11188477  0.56593596  0.43012302]]","[5.00482783793919e-19, 5.238527587329564e-19]","[-9.784611258253328e-19, -6.235469205697991e-19]","[0.024741083101287545, 0.025203800655358852]",,,"[2.389335836020904e-25, 2.393262286217624e-25]","[2.367836823401357e-25, 2.371382225226338e-25]","[2.017098616729214e-26, 1.81281874411082e-26]","[2.160580470954976e-26, 1.968943348931814e-26]","[4.684500778126296e-26, 4.791357962731072e-26]","[4.672251591935271e-26, 4.777993150075359e-26]"
17,60,3050,500,4000,"[[0.051873430876161114, -0.019339927959566683, -0.03490577540727101, 0.00020192654999166317], [-0.01641189575506249, -0.0012679457894175412, 0.024934385864849556, -0.027283422138014976], [0.03227142609956025, -0.036992833083265945, -0.02748530891972914, -0.003987370415230991], [-0.016783667055243028, -0.010115409714794105, 0.03065311465709305, 0.018388110675390368]]","[[ 1.         -0.37282917 -0.67290277  0.00389268]
 [-0.31638346 -0.02444307  0.4806774  -0.5259614 ]
 [ 0.6221186  -0.71313643 -0.52985331 -0.0768673 ]
 [-0.32355036 -0.19500175  0.59092129  0.35448033]]","[-5.975969901590221e-19, 5.55045067825888e-19]","[-1.639566893998798e-19, 4.3236216576718605e-19]","[0.02436453849697047, 0.02417558742897986]",,,"[2.285156659402366e-25, 2.296719346621924e-25]","[2.263791913253258e-25, 2.280750335788799e-25]","[2.085854730266734e-26, 1.942247054920987e-26]","[2.234300709428709e-26, 2.045910231735613e-26]","[4.629537016602439e-26, 4.774109026203504e-26]","[4.616011732242638e-26, 4.756532113413792e-26]"
18,60,3050,500,4000,"[[0.04160546098304972, -0.01531543964966479, -0.027494577966894272, 0.000545456723303861], [-0.01302402496952187, 0.0010122018988872068, 0.01867494804353631, -0.023665361620494225], [0.025695320956882553, -0.029420471481469174, -0.022592666790926464, -0.004945617807145888], [-0.012686106053206908, -0.010400785937677787, 0.02523830207755544, 0.012489651646415172]]","[[ 1.         -0.36811128 -0.6608406   0.01311022]
 [-0.31303643  0.02432858  0.4488581  -0.56880422]
 [ 0.61759491 -0.70713004 -0.54302167 -0.11886944]
 [-0.30491445 -0.24998608  0.60661032  0.3001926 ]]","[-8.011758466967922e-19, -3.215710037353971e-20]","[3.878482691888733e-20, 5.595366525016905e-19]","[0.0233485671206262, 0.022744279783198325]",,,"[2.240542579899595e-25, 2.251604620169885e-25]","[2.221976469007254e-25, 2.239864194434097e-25]","[2.081781558100265e-26, 2.024778695266954e-26]","[2.218394898883295e-26, 2.10128621243287e-26]","[4.597405886398968e-26, 4.759796302431021e-26]","[4.583233655239952e-26, 4.740818356681716e-26]"
19,60,3050,500,4000,"[[0.03440253287568146, -0.012780975640446984, -0.02209736438793947, 0.0008254344926108808], [-0.010697645562717805, 0.002435545550105872, 0.014471179909139377, -0.020743643976936482], [0.02107545292291931, -0.024241961514744493, -0.018985226185769283, -0.005221999563834925], [-0.009680591760060048, -0.010047628230502086, 0.02120485148619423, 0.008620868411052529]]","[[ 1.         -0.37151264 -0.64231795  0.02399342]
 [-0.31095517  0.07079553  0.42064286 -0.60296851]
 [ 0.61261341 -0.7046563  -0.55185548 -0.15179114]
 [-0.28139183 -0.29206071  0.61637472  0.25058819]]","[-1.9643739377403592e-20, -5.809645229661859e-21]","[-2.1692082667789653e-19, -4.682798957863683e-19]","[0.02212001585946209, 0.02108341764324291]",,,"[2.212625333077476e-25, 2.221879111896307e-25]","[2.196931556949603e-25, 2.213184323639769e-25]","[2.061505551956233e-26, 2.075151684151664e-26]","[2.186279014405799e-26, 2.137070088501232e-26]","[4.573920603840687e-26, 4.74688008308948e-26]","[4.559476485575111e-26, 4.727777781395868e-26]"
