azi,aoi,wvl,radius,pitch,mm,dmm,abs pillar,abs substrate,reflected flux,E,H,E air,H air,E Ge,H Ge,E CaF2,H CaF2
10,60,3250,500,4000,"[[0.012116097425437827, -0.0038778608531939993, -0.0018879069968455197, 1.2033221899076314e-05], [-0.0038778707653212624, 0.011812844090544523, 0.0006113509012355828, -0.0018216807182868623], [0.0018878872283353619, -0.0006113216562167669, -0.010883214940396343, -0.0035977369247187966], [1.1940035885155739e-05, -0.0018216694323233452, 0.0035977423287708653, -0.010579961605713187]]","[[ 1.00000000e+00 -3.20058573e-01 -1.55818077e-01  9.93159883e-04]
 [-3.20059391e-01  9.74971039e-01  5.04577406e-02 -1.50352102e-01]
 [ 1.55816445e-01 -5.04553269e-02 -8.98244258e-01 -2.96938593e-01]
 [ 9.85468791e-04 -1.50351171e-01  2.96939039e-01 -8.73215296e-01]]","[1.2944327599258439e-18, 2.6521157519242605e-19]","[2.3326134877421056e-19, 1.218180530578832e-19]","[0.012128130640734402, 0.012104064196949354]",,,"[3.233858450642171e-25, 3.225212719165693e-25]","[3.228028355365055e-25, 3.214934694474543e-25]","[1.814793443893523e-26, 1.857953981778897e-26]","[1.922694286545749e-26, 2.010510242132258e-26]","[4.78166568723212e-26, 4.680914894891642e-26]","[4.755498964151395e-26, 4.655708529781815e-26]"
11,60,3250,500,4000,"[[0.011364111467161554, -0.003635497048291263, -0.002352325967079607, -1.1226876121103431e-05], [-0.0036354950223963746, 0.010966003222441036, 0.0006234842549066034, -0.0017226409721584404], [0.002352328896769144, -0.000623533475652345, -0.010387267038152717, -0.002764410945068749], [-1.1268976660650182e-05, -0.001722627432175047, 0.0027644195537545333, -0.009989158793530432]]","[[ 1.00000000e+00 -3.19910365e-01 -2.06996031e-01 -9.87923794e-04]
 [-3.19910187e-01  9.64967939e-01  5.48643206e-02 -1.51586068e-01]
 [ 2.06996289e-01 -5.48686518e-02 -9.14041284e-01 -2.43257993e-01]
 [-9.91628487e-04 -1.51584876e-01  2.43258750e-01 -8.79009223e-01]]","[-2.0257347623568894e-19, -5.95076148325007e-19]","[4.599414971608759e-19, 2.0731488701602872e-19]","[0.011352884584859991, 0.011375338337089974]",,,"[3.285209879898652e-25, 3.266082587181463e-25]","[3.278635171427749e-25, 3.254422945066167e-25]","[1.833945979888975e-26, 1.855246582114845e-26]","[1.955965663195259e-26, 2.028192097256927e-26]","[4.776930434478901e-26, 4.696712648939306e-26]","[4.752396788399355e-26, 4.673044828063572e-26]"
12,60,3250,500,4000,"[[0.010395277008478788, -0.0029919165512333518, -0.003107379143121599, -8.107235630224017e-05], [-0.002991914557888708, 0.009809274216387954, 0.0005994024699567883, -0.0013484251242922873], [0.0031073789375534256, -0.0005994503536243788, -0.009770892011981714, -0.0018094126098494791], [-8.115375746419221e-05, -0.0013484082609470562, 0.0018094288258201448, -0.009184889220118637]]","[[ 1.         -0.28781499 -0.29892221 -0.00779896]
 [-0.2878148   0.94362798  0.05766104 -0.12971517]
 [ 0.29892219 -0.05766564 -0.9399357  -0.17406103]
 [-0.00780679 -0.12971355  0.17406259 -0.88356368]]","[8.848831779224833e-19, 1.46427579262115e-19]","[8.864786635331409e-20, -1.7888532491514682e-19]","[0.010314204646561537, 0.01047634935907775]",,,"[3.407417279677673e-25, 3.362786507240458e-25]","[3.399546126819638e-25, 3.349090658290951e-25]","[1.88363099987129e-26, 1.822251829304712e-26]","[2.026384142361417e-26, 2.023447156608736e-26]","[4.796440791951852e-26, 4.741518553175382e-26]","[4.774095184255196e-26, 4.71969170969173e-26]"
13,60,3250,500,4000,"[[0.01292292646455758, 0.00017286377350745653, -0.0031116919980039774, -0.00016631182309417283], [0.00017284922454067174, 0.01253647353362274, -4.0450154417702184e-05, 0.0003562748818496744], [0.0031116693812469494, 4.061895131641938e-05, -0.01284691328354241, -0.0013782290576511013], [-0.00016674952629631783, 0.00035626273589907734, 0.001378285083652756, -0.012460460356942621]]","[[ 1.          0.01337652 -0.24078849 -0.01286952]
 [ 0.01337539  0.97009556 -0.00313011  0.02756921]
 [ 0.24078674  0.00314317 -0.99411796 -0.10664992]
 [-0.01290339  0.02756827  0.10665425 -0.96421352]]","[-2.0595159091167116e-19, 1.4939613560157245e-19]","[-2.70981900782257e-19, -5.191849268891994e-19]","[0.012756614634518767, 0.013089238280526033]",,,"[3.414110054183951e-25, 3.378935089168657e-25]","[3.402990373813037e-25, 3.365185683463107e-25]","[2.187277832831779e-26, 1.916185117410816e-26]","[2.400154494166032e-26, 2.157460251690859e-26]","[4.891848263277983e-26, 4.885292342400067e-26]","[4.866147380417752e-26, 4.858513592976973e-26]"
14,60,3250,500,4000,"[[0.015340133737977572, 0.002140906826976237, -0.002007584128334323, -0.00015743465893548145], [0.0021408998111941534, 0.015206421765885993, -0.00014909913942170463, 8.366528105374101e-05], [0.002007561562890452, 0.00014922060337103243, -0.014987924251783993, -0.0024599196361223367], [-0.0001578173488598678, 8.362825109957823e-05, 0.0024599454170406102, -0.014854212282361872]]","[[ 1.          0.13956246 -0.13087136 -0.01026293]
 [ 0.139562    0.99128352 -0.00971955  0.00545401]
 [ 0.13086989  0.00972746 -0.97704    -0.16035842]
 [-0.01028787  0.0054516   0.1603601  -0.96832352]]","[-8.800722867436196e-19, -2.4239707130066375e-19]","[-4.754771317007786e-19, -4.28996850609405e-19]","[0.015182699070776701, 0.015497568388476247]",,,"[3.338095484835293e-25, 3.335891912685071e-25]","[3.327063465386624e-25, 3.324879313624376e-25]","[2.186182984808634e-26, 2.088760673079111e-26]","[2.401887948009865e-26, 2.30827663372055e-26]","[4.883396339683501e-26, 4.902144989409811e-26]","[4.854654616531791e-26, 4.869997805941331e-26]"
15,60,3250,500,4000,"[[0.015942278054030697, 0.003182777527759706, -0.0009231450606126343, -0.00011199545584486382], [0.0031827768133005007, 0.015912223752477292, -6.760820728193536e-05, -0.0002967315292347596], [0.000923152010433992, 6.764430906446885e-05, -0.015372903623158789, -0.0027718017697238133], [-0.00011195846829950974, -0.0002967309648721504, 0.002771800335894737, -0.015342849321648082]]","[[ 1.          0.19964383 -0.05790547 -0.00702506]
 [ 0.19964379  0.99811481 -0.00424081 -0.01861287]
 [ 0.0579059   0.00424308 -0.96428525 -0.17386485]
 [-0.00702274 -0.01861283  0.17386476 -0.96240006]]","[6.198324381604744e-19, 6.54788165783711e-19]","[-8.175347256902483e-19, 1.1955177925508232e-18]","[0.015830282589567896, 0.01605427350113569]",,,"[3.320155807479988e-25, 3.341770948056067e-25]","[3.309404982763441e-25, 3.331980222460269e-25]","[2.096385000600688e-26, 2.186958612514872e-26]","[2.309571714603795e-26, 2.395574762761652e-26]","[4.881583404144088e-26, 4.916735359840545e-26]","[4.852214369945534e-26, 4.882882441880737e-26]"
16,60,3250,500,4000,"[[0.014803575235529939, 0.003442461160218446, 0.00041749786328013663, -4.7996366013857534e-05], [0.0034424716639014996, 0.014782716119715301, 9.68726195041141e-05, -0.0006566763081255016], [-0.000417448194919745, -9.664944063747838e-05, -0.01424502330089337, -0.0020887617948104893], [-4.767393837336586e-05, -0.0006566541300678426, 0.002088761383171283, -0.014224164187727378]]","[[ 1.          0.23254255  0.0282025  -0.00324221]
 [ 0.23254326  0.99859094  0.00654387 -0.0443593 ]
 [-0.02819915 -0.00652879 -0.96226912 -0.14109847]
 [-0.00322043 -0.04435781  0.14109844 -0.96086006]]","[-5.424043665101859e-19, 8.897940843840883e-19]","[7.343674627612928e-20, -1.1166595070505791e-19]","[0.014755578861483216, 0.014851571593458669]",,,"[3.346635637096407e-25, 3.39677931773988e-25]","[3.335484521037927e-25, 3.38770877500959e-25]","[1.935037943853758e-26, 2.207473580682277e-26]","[2.153320144961679e-26, 2.410496933041763e-26]","[4.883377625881861e-26, 4.934721727450858e-26]","[4.855734388708798e-26, 4.901862284046678e-26]"
17,60,3250,500,4000,"[[0.1791111528001757, 0.0018583868051647578, -0.08998788749589863, -0.01697426948291121], [-0.0370308962498893, -0.05176625267017927, 0.09451312942867714, -0.11597506828018088], [0.03447682642173462, -0.1387735680267183, -0.07389036745852222, 0.012734508609680818], [-0.07635090362782963, -0.04191671788887846, 0.13189657915903077, 0.10181918968344382]]","[[ 1.          0.01037561 -0.50241365 -0.09476947]
 [-0.20674813 -0.28901747  0.52767864 -0.64750333]
 [ 0.19248844 -0.77479021 -0.41253918  0.07109836]
 [-0.42627666 -0.23402629  0.73639512  0.56846929]]","[-3.83010008899664e-20, -5.004552728174464e-19]","[7.937146349927334e-19, 2.408815977703019e-19]","[0.011673409307529739, 0.014117610667717535]",,,"[3.601399940594798e-25, 3.740278538221213e-25]","[3.587843271026765e-25, 3.7339961124791e-25]","[1.563145779221283e-26, 1.870230827664082e-26]","[1.772684371985491e-26, 2.013115787724847e-26]","[4.804554335611451e-26, 4.888886011203771e-26]","[4.783391799784238e-26, 4.861856756170568e-26]"
18,60,3250,500,4000,"[[0.08413579904077848, 0.005980348082720348, -0.04072095937304831, -0.007162584606614307], [-0.02030835475659567, -0.02410039687468748, 0.04785255360952049, -0.053621844643593396], [0.010930435304967057, -0.06591123128149322, -0.03301956344429964, 0.004296673526445107], [-0.03483331774067816, -0.021076384679587813, 0.06009664750873123, 0.049911000374704875]]","[[ 1.          0.07107971 -0.48399088 -0.08513124]
 [-0.24137591 -0.2864464   0.56875378 -0.63732496]
 [ 0.1299142  -0.78339104 -0.39245558  0.05106832]
 [-0.41401304 -0.25050436  0.71428153  0.59321954]]","[2.8483678522589635e-19, 4.150633215168777e-20]","[3.418900974665035e-19, -1.085229203239476e-18]","[0.02420470277696838, 0.028709340729077586]",,,"[3.348337435813067e-25, 3.422124831332738e-25]","[3.335088136641296e-25, 3.413349036393171e-25]","[1.574334889136951e-26, 1.766119401023305e-26]","[1.741093538374694e-26, 1.892294040392715e-26]","[4.65115208677773e-26, 4.73948584801619e-26]","[4.629107506870827e-26, 4.713442483331282e-26]"
19,60,3250,500,4000,"[[0.058844580439960666, 0.005697359053747776, -0.027489983872118377, -0.003969536354061887], [-0.014888980662609146, -0.016383829233807656, 0.03398713054431295, -0.038169295998026216], [0.005972665081553866, -0.046612262081183006, -0.02274635174429288, 0.002083638401584778], [-0.023378662472325215, -0.015814404140276454, 0.04173662621475524, 0.034832295757024866]]","[[ 1.          0.09682046 -0.46716254 -0.06745798]
 [-0.25302212 -0.27842546  0.57757452 -0.6486459 ]
 [ 0.10149898 -0.79212498 -0.38654965  0.03540918]
 [-0.39729508 -0.26874869  0.70926882  0.59193719]]","[1.211671101823612e-19, -7.217458989723979e-19]","[-3.5353123728243467e-19, -2.1760303753877695e-19]","[0.024048289243623882, 0.027527486754832478]",,,"[3.276059203098856e-25, 3.329764341551543e-25]","[3.262566335081373e-25, 3.319372613307805e-25]","[1.562964614289828e-26, 1.742883365081803e-26]","[1.714458402419502e-26, 1.866481838002445e-26]","[4.610423289031108e-26, 4.711542087519728e-26]","[4.588405035389519e-26, 4.68648069216448e-26]"
