azi,aoi,wvl,radius,pitch,mm,dmm,abs pillar,abs substrate,reflected flux,E,H,E air,H air,E Ge,H Ge,E CaF2,H CaF2
10,60,5600,500,4000,"[[0.014625547040925033, -0.008205965951178132, -6.22630895734921e-05, 1.903478949868728e-05], [-0.008205965902124192, 0.014625216021812106, 5.767802046678064e-05, 4.5999858609317824e-05], [6.227237961885733e-05, -5.768545404305978e-05, -0.003480178253732176, 0.01159540510714423], [1.9025544434837875e-05, 4.599928802525827e-05, -0.011595405094234939, -0.003479847234623135]]","[[ 1.         -0.5610707  -0.00425715  0.00130148]
 [-0.5610707   0.99997737  0.00394365  0.00314517]
 [ 0.00425778 -0.00394416 -0.23795201  0.79281856]
 [ 0.00130084  0.00314513 -0.79281856 -0.23792937]]","[1.2085735222500543e-19, -9.326607975071178e-20]","[1.4906524674764662e-19, 2.341241037771382e-19]","[0.014644581822451274, 0.014606512243474623]",,,"[2.187278337722832e-25, 2.188268845504598e-25]","[2.176672806267365e-25, 2.177957202302858e-25]","[1.005789152876385e-26, 9.955260112072531e-27]","[8.38386635555034e-27, 8.111198239268508e-27]","[4.614915676983973e-26, 4.595114062563277e-26]","[4.578751123307085e-26, 4.564753189915672e-26]"
11,60,5600,500,4000,"[[0.014630519564062774, -0.008166517280759483, -7.037240040173439e-05, 2.2720910239689164e-05], [-0.008166517349060279, 0.014630107930646032, 6.390508360512736e-05, 4.993389049499793e-05], [7.03631710651511e-05, -6.38903903789031e-05, -0.0034573444332884236, 0.011636248027884632], [2.2724944418005613e-05, 4.994152168786259e-05, -0.011636248003012705, -0.003456932799878099]]","[[ 1.         -0.55818368 -0.00480997  0.00155298]
 [-0.55818369  0.99997186  0.00436793  0.003413  ]
 [ 0.00480934 -0.00436693 -0.23631043  0.79534072]
 [ 0.00155326  0.00341352 -0.79534072 -0.2362823 ]]","[1.3745044625880077e-19, -1.2610390624230803e-20]","[7.576817645021278e-20, -7.33561942741606e-20]","[0.014653240466325301, 0.014607798645870666]",,,"[2.187328172823117e-25, 2.188413601309433e-25]","[2.17704560679454e-25, 2.178448159393145e-25]","[1.008371756462021e-26, 9.969164601793785e-27]","[8.389259383062425e-27, 8.087668714382982e-27]","[4.616794919020665e-26, 4.594736949973637e-26]","[4.580142618018072e-26, 4.564458640293609e-26]"
12,60,5600,500,4000,"[[0.014636878820228339, -0.008122019379004506, -7.904442133969475e-05, 2.6946278851770802e-05], [-0.008122019385335296, 0.01463637312776669, 7.028597976951718e-05, 5.375057427277986e-05], [7.904295888528051e-05, -7.028615216171235e-05, -0.0034318527993940453, 0.011682796869418309], [2.6948660484338185e-05, 5.374939221489777e-05, -0.011682796880350158, -0.003431347106932554]]","[[ 1.         -0.55490105 -0.00540036  0.00184099]
 [-0.55490105  0.99996545  0.00480198  0.00367227]
 [ 0.00540026 -0.00480199 -0.23446616  0.79817542]
 [ 0.00184115  0.00367219 -0.79817542 -0.23443161]]","[-1.0846876308484316e-19, -1.0275756862131673e-19]","[5.099578201160498e-20, -4.162033690567744e-20]","[0.014663825091097187, 0.014609932533422985]",,,"[2.187397652718949e-25, 2.18857825776998e-25]","[2.17747999539338e-25, 2.178998548223215e-25]","[1.011254878478191e-26, 9.985506434870499e-27]","[8.393931338003372e-27, 8.0629125351923e-27]","[4.61885283160993e-26, 4.594449368549204e-26]","[4.581692933971387e-26, 4.56423021073076e-26]"
13,60,5600,500,4000,"[[0.01464489723087372, -0.008072069210102145, -8.847654048466753e-05, 3.1843900001654e-05], [-0.00807206903345548, 0.014644280533768999, 7.691508888728769e-05, 5.745986631581041e-05], [8.849353415300912e-05, -7.694953257075391e-05, -0.003403500520534753, 0.011735585435747719], [3.184145732746204e-05, 5.743856179335167e-05, -0.011735585533411936, -0.003402883823463062]]","[[ 1.         -0.55118647 -0.00604146  0.0021744 ]
 [-0.55118646  0.99995789  0.00525201  0.00392354]
 [ 0.00604262 -0.00525436 -0.2324018   0.80134297]
 [ 0.00217424  0.00392209 -0.80134298 -0.23235969]]","[5.2585323170440666e-20, -7.614114296681822e-20]","[5.848589807585318e-19, 1.8369390627733667e-19]","[0.014676741122885422, 0.014613053322916783]",,,"[2.187490668202146e-25, 2.188766726563523e-25]","[2.17798293190382e-25, 2.179615165015121e-25]","[1.014466576161235e-26, 1.000450921701155e-26]","[8.39788232153218e-27, 8.036870002533789e-27]","[4.621119991336073e-26, 4.594268530863046e-26]","[4.583432457094371e-26, 4.564084196390807e-26]"
14,60,5600,500,4000,"[[0.014654905344242616, -0.008016102657027818, -9.857114243881504e-05, 3.741450360950053e-05], [-0.008016101947635742, 0.014654159114026798, 8.375732546939173e-05, 6.106170326272575e-05], [9.865618374943392e-05, -8.384228664343346e-05, -0.0033721224133711264, 0.01179528408595159], [3.7342278036846695e-05, 6.103822789429482e-05, -0.011795283978577722, -0.00337137618350022]]","[[ 1.         -0.54699109 -0.00672615  0.00255304]
 [-0.54699104  0.99994908  0.00571531  0.00416664]
 [ 0.00673196 -0.00572111 -0.23010196  0.80486935]
 [ 0.00254811  0.00416504 -0.80486934 -0.23005104]]","[5.367207562848343e-20, 1.5076913125506433e-19]","[2.557684666963575e-19, 2.565773598371223e-19]","[0.014692319839853682, 0.014617490832675413]",,,"[2.187613045291667e-25, 2.188982365763106e-25]","[2.178564265526713e-25, 2.180304294691089e-25]","[1.018054715341509e-26, 1.002644020380066e-26]","[8.401138930944531e-27, 8.009469083895651e-27]","[4.62363828716702e-26, 4.594212006801593e-26]","[4.585402462619731e-26, 4.56403707097861e-26]"
15,60,5600,500,4000,"[[0.014667454057665862, -0.007953611417661727, -0.00010968405775352995, 4.370340498764208e-05], [-0.007953611763928864, 0.01466655432778435, 9.102533654745843e-05, 6.459102113405802e-05], [0.00010964492285951093, -9.098920389411293e-05, -0.003337555190546617, 0.011862748488203985], [4.373857422573061e-05, 6.459929203024007e-05, -0.011862748572785907, -0.003336655460735713]]","[[ 1.         -0.54226258 -0.00747806  0.00297962]
 [-0.5422626   0.99993866  0.00620594  0.0044037 ]
 [ 0.00747539 -0.00620348 -0.22754837  0.80878034]
 [ 0.00298202  0.00440426 -0.80878035 -0.22748702]]","[1.0416288909195696e-19, 7.862341752214291e-20]","[-4.652327557720499e-20, 2.723036222898429e-19]","[0.014711157454644814, 0.01462375064471711]",,,"[2.18776968809074e-25, 2.189232943816596e-25]","[2.179231853016685e-25, 2.181076735416681e-25]","[1.022040947544925e-26, 1.005157459261928e-26]","[8.403670145481434e-27, 7.980635107688127e-27]","[4.626448609024863e-26, 4.594306697018283e-26]","[4.587643947928579e-26, 4.564114507700357e-26]"
16,60,5600,500,4000,"[[0.014683110969716008, -0.007884088122655425, -0.00012172638153610697, 5.093486976741526e-05], [-0.007884088666304271, 0.014682029097246975, 9.863323333885552e-05, 6.810081717489389e-05], [0.00012168811364664802, -9.85569929902421e-05, -0.003299394432153274, 0.011938868516215836], [5.0942159024433325e-05, 6.814824135911031e-05, -0.011938868276708522, -0.0032983125598473467]]","[[ 1.         -0.53694943 -0.00829023  0.00346894]
 [-0.53694947  0.99992632  0.00671746  0.00463804]
 [ 0.00828762 -0.00671227 -0.22470677  0.81310211]
 [ 0.00346944  0.00464127 -0.81310209 -0.22463309]]","[3.094770272916442e-20, 1.6811564960999825e-19]","[7.33787565544638e-20, 2.813516608528788e-20]","[0.014734045831462267, 0.014632176091982899]",,,"[2.187968408876288e-25, 2.189524648257832e-25]","[2.179999182010071e-25, 2.181942970865067e-25]","[1.026493133486758e-26, 1.008026212476814e-26]","[8.405520564182955e-27, 7.950290558003714e-27]","[4.629611087310003e-26, 4.594585396844138e-26]","[4.590216582851666e-26, 4.564348209910383e-26]"
17,60,5600,500,4000,"[[0.014702386680745042, -0.007806443230123865, -0.0001350285317813321, 5.9214030379183983e-05], [-0.007806443734060669, 0.014701085267080489, 0.00010673901157314898, 7.170582756033702e-05], [0.00013499113288773036, -0.00010668198329742206, -0.003257488096548172, 0.012024703408419633], [5.9232861842734e-05, 7.173582667731887e-05, -0.012024703322238935, -0.0032561866829840433]]","[[ 1.         -0.53096435 -0.00918412  0.00402751]
 [-0.53096439  0.99991148  0.00725998  0.00487716]
 [ 0.00918158 -0.0072561  -0.22156186  0.81787425]
 [ 0.00402879  0.0048792  -0.81787424 -0.22147334]]","[-7.558253292495472e-20, 8.761969935625208e-20]","[-2.8218281229732047e-19, -1.5164106503735943e-19]","[0.014761600703088067, 0.014643172642394177]",,,"[2.188216576303955e-25, 2.189867683898237e-25]","[2.180879268079917e-25, 2.18291798571365e-25]","[1.031469868629799e-26, 1.011298863341719e-26]","[8.406691732702617e-27, 7.918359263210718e-27]","[4.633194790630287e-26, 4.595093140125248e-26]","[4.593189289095127e-26, 4.564781745175394e-26]"
18,60,5600,500,4000,"[[0.014726138447091494, -0.00771977321646288, -0.00014975115236218293, 6.864071747802973e-05], [-0.007719774635191735, 0.014724571482175507, 0.00011550114902253835, 7.54497354991155e-05], [0.0001496391728508768, -0.0001153738154949585, -0.0032114116593975573, 0.012121593707602726], [6.872531663210671e-05, 7.549937866317756e-05, -0.012121593877855035, -0.003209844695133077]]","[[ 1.         -0.52422251 -0.01016907  0.00466115]
 [-0.5242226   0.99989359  0.00784327  0.00512352]
 [ 0.01016147 -0.00783463 -0.21807561  0.82313457]
 [ 0.00466689  0.0051269  -0.82313459 -0.21796921]]","[-1.5928875187649019e-19, 1.3767845516287163e-19]","[8.319583398788421e-20, -9.890134133604183e-21]","[0.014794779156515307, 0.014657497721633984]",,,"[2.188524830844732e-25, 2.190271180710123e-25]","[2.181889967183629e-25, 2.184016676713009e-25]","[1.037051792088004e-26, 1.015034216757292e-26]","[8.407215272692471e-27, 7.884750798997302e-27]","[4.637292574539975e-26, 4.595880913301196e-26]","[4.596654673692277e-26, 4.565464537235974e-26]"
19,60,5600,500,4000,"[[0.014755499584250048, -0.007623122212275553, -0.00016605062472262806, 7.94681305918306e-05], [-0.0076231236493874786, 0.014753608541938837, 0.00012497959083566262, 7.947949873047157e-05], [0.00016594819239753244, -0.0001248609362987966, -0.0031606737613486934, 0.012231147846675405], [7.954420550097432e-05, 7.952813884870505e-05, -0.012231148025019203, -0.0031587827195919656]]","[[ 1.         -0.51662922 -0.01125347  0.00538566]
 [-0.51662932  0.99987184  0.00847003  0.00538643]
 [ 0.01124653 -0.00846199 -0.2142031   0.8289213 ]
 [ 0.00539082  0.00538973 -0.82892131 -0.21407494]]","[-1.5457874838892445e-20, -3.3226565660375913e-21]","[3.664651556639098e-19, -6.514422680477929e-20]","[0.014834967706765782, 0.014676031445668652]",,,"[2.188908299294486e-25, 2.190750838827822e-25]","[2.183053572252485e-25, 2.185260376455606e-25]","[1.043319876851928e-26, 1.019280613555675e-26]","[8.407124533942039e-27, 7.849355660715889e-27]","[4.642019379902279e-26, 4.597020164224415e-26]","[4.600728084050406e-26, 4.56646680314988e-26]"
