azi,aoi,wvl,pitch,mm,dmm,reflected flux
22,60,4000,7560,"[[0.7491184651421212, -0.02354016167175194, -0.00509382342889685, 0.0009416996826593054], [-0.0235435141660772, 0.7490891715089198, -0.0001381474096343134, -0.004146428897227912], [0.005134619857867034, 0.0007953937231844053, -0.7223896203920404, 0.1969174187056393], [0.0005582710598247124, -0.004052339864277846, -0.1969179170928844, -0.7223605234963624]]","[[ 1.00000000e+00 -3.14238171e-02 -6.79975687e-03  1.25707712e-03]
 [-3.14282924e-02  9.99960896e-01 -1.84413302e-04 -5.53507768e-03]
 [ 6.85421612e-03  1.06177295e-03 -9.64319602e-01  2.62865525e-01]
 [ 7.45237350e-04 -5.40947801e-03 -2.62866190e-01 -9.64280761e-01]]","[0.0005127398823400277, 0.0004814971593392868]"
22,60,4050,7560,"[[0.8095463198509429, -0.0574063409796805, -0.005955280740102782, 0.001376924120721859], [-0.05740944283918642, 0.8094153266863646, -0.001358672545261507, -0.01316137424543001], [0.005956758501018629, 0.001869250672120063, -0.7766418562657614, 0.2211149264085056], [0.001233764344492795, -0.013085011372094, -0.2211186133831405, -0.776510951743869]]","[[ 1.         -0.07091174 -0.00735632  0.00170086]
 [-0.07091558  0.99983819 -0.00167831 -0.01625772]
 [ 0.00735814  0.00230901 -0.95935444  0.27313437]
 [ 0.00152402 -0.01616339 -0.27313893 -0.95919274]]","[0.0005753138447980454, 0.0004991236114970372]"
22,60,4100,7560,"[[0.834834905890935, -0.0698788082969517, -0.007571472965774009, 0.001764875473817937], [-0.06988134464910056, 0.8346524725093923, -0.0016606737023447, -0.01554750408887069], [0.007562127436257346, 0.002082352748170378, -0.7991458461102408, 0.2311376137277452], [0.001703448262522129, -0.01548522026343353, -0.231141333964931, -0.7989634683005868]]","[[ 1.         -0.08370375 -0.00906943  0.00211404]
 [-0.08370678  0.99978147 -0.00198922 -0.01862345]
 [ 0.00905823  0.00249433 -0.95725016  0.27686625]
 [ 0.00204046 -0.01854884 -0.27687071 -0.9570317 ]]","[0.0006003722566031115, 0.0005076284478864807]"
