Opt. Const. of Gen-Osc vs. nm
Wavelength (nm)	n	k
1390.000000	1.551731	0.000000	
1396.000000	1.551699	0.000000	
1402.000000	1.551667	0.000000	
1408.000000	1.551635	0.000000	
1414.000000	1.551604	0.000000	
1420.000000	1.551573	0.000000	
1426.000000	1.551542	0.000000	
1432.000000	1.551512	0.000000	
1438.000000	1.551482	0.000000	
1444.000000	1.551453	0.000000	
1450.000000	1.551424	0.000000	
1456.000000	1.551395	0.000000	
1462.000000	1.551367	0.000000	
1468.000000	1.551339	0.000000	
1474.000000	1.551311	0.000000	
1480.000000	1.551284	0.000000	
1486.000000	1.551257	0.000000	
1492.000000	1.551230	0.000000	
1498.000000	1.551204	0.000000	
1504.000000	1.551178	0.000000	
1510.000000	1.551153	0.000000	
1516.000000	1.551127	0.000000	
1522.000000	1.551102	0.000000	
1528.000000	1.551077	0.000000	
1534.000000	1.551053	0.000000	
1540.000000	1.551029	0.000000	
1546.000000	1.551005	0.000000	
1552.000000	1.550981	0.000000	
1558.000000	1.550958	0.000000	
1564.000000	1.550935	0.000000	
1570.000000	1.550912	0.000000	
1576.000000	1.550889	0.000000	
1582.000000	1.550867	0.000000	
1588.000000	1.550845	0.000000	
1594.000000	1.550823	0.000000	
1600.000000	1.550802	0.000000	
1606.000000	1.550781	0.000000	
1612.000000	1.550760	0.000000	
1618.000000	1.550739	0.000000	
1624.000000	1.550718	0.000000	
1630.000000	1.550698	0.000000	
1636.000000	1.550678	0.000000	
1642.000000	1.550658	0.000000	
1648.000000	1.550638	0.000000	
1654.000000	1.550619	0.000000	
1660.000000	1.550599	0.000000	
1666.000000	1.550580	0.000000	
1672.000000	1.550561	0.000000	
1678.000000	1.550543	0.000000	
1684.000000	1.550524	0.000000	
1690.000000	1.550506	0.000000	
1696.000000	1.550488	0.000000	
1702.000000	1.550470	0.000000	
1708.000000	1.550452	0.000000	
1714.000000	1.550435	0.000000	
1720.000000	1.550418	0.000000	
1726.000000	1.550400	0.000000	
1732.000000	1.550384	0.000000	
1738.000000	1.550367	0.000000	
1744.000000	1.550350	0.000000	
1750.000000	1.550334	0.000000	
1756.000000	1.550318	0.000000	
1762.000000	1.550301	0.000000	
1768.000000	1.550286	0.000000	
1774.000000	1.550270	0.000000	
1780.000000	1.550254	0.000000	
1786.000000	1.550239	0.000000	
1792.000000	1.550223	0.000000	
1798.000000	1.550208	0.000000	
1804.000000	1.550193	0.000000	
1810.000000	1.550179	0.000000	
1816.000000	1.550164	0.000000	
1822.000000	1.550149	0.000000	
1828.000000	1.550135	0.000000	
1834.000000	1.550121	0.000000	
1840.000000	1.550107	0.000000	
1846.000000	1.550093	0.000000	
1852.000000	1.550079	0.000000	
1858.000000	1.550065	0.000000	
1864.000000	1.550051	0.000000	
1870.000000	1.550038	0.000000	
1876.000000	1.550025	0.000000	
1882.000000	1.550012	0.000000	
1888.000000	1.549999	0.000000	
1894.000000	1.549986	0.000000	
1900.000000	1.549973	0.000000	
1906.000000	1.549960	0.000000	
1912.000000	1.549948	0.000000	
1918.000000	1.549935	0.000000	
1924.000000	1.549923	0.000000	
1930.000000	1.549911	0.000000	
1936.000000	1.549898	0.000000	
1942.000000	1.549886	0.000000	
1948.000000	1.549875	0.000000	
1954.000000	1.549863	0.000000	
1960.000000	1.549851	0.000000	
1966.000000	1.549839	0.000000	
1972.000000	1.549828	0.000000	
1978.000000	1.549817	0.000000	
1984.000000	1.549806	0.000000	
1990.000000	1.549794	0.000000	
1996.000000	1.549783	0.000000	
2002.000000	1.549772	0.000000	
2008.000000	1.549762	0.000000	
2014.000000	1.549751	0.000000	
2020.000000	1.549740	0.000000	
2026.000000	1.549730	0.000000	
2032.000000	1.549719	0.000000	
2038.000000	1.549709	0.000000	
2044.000000	1.549699	0.000000	
2050.000000	1.549688	0.000000	
2056.000000	1.549678	0.000000	
2062.000000	1.549668	0.000000	
2068.000000	1.549658	0.000000	
2074.000000	1.549649	0.000000	
2080.000000	1.549639	0.000000	
2086.000000	1.549629	0.000000	
2092.000000	1.549620	0.000000	
2098.000000	1.549610	0.000000	
2104.000000	1.549601	0.000000	
2110.000000	1.549591	0.000000	
2116.000000	1.549582	0.000000	
2122.000000	1.549573	0.000000	
2128.000000	1.549564	0.000000	
2134.000000	1.549555	0.000000	
2140.000000	1.549546	0.000000	
2146.000000	1.549537	0.000000	
2152.000000	1.549528	0.000000	
2158.000000	1.549519	0.000000	
2164.000000	1.549511	0.000000	
2170.000000	1.549502	0.000000	
2176.000000	1.549494	0.000000	
2182.000000	1.549485	0.000000	
2188.000000	1.549477	0.000000	
2194.000000	1.549469	0.000000	
2200.000000	1.549460	0.000000	
2206.000000	1.549452	0.000000	
2212.000000	1.549444	0.000000	
2218.000000	1.549436	0.000000	
2224.000000	1.549428	0.000000	
2230.000000	1.549420	0.000000	
2236.000000	1.549412	0.000000	
2242.000000	1.549405	0.000000	
2248.000000	1.549397	0.000000	
2254.000000	1.549389	0.000000	
2260.000000	1.549382	0.000000	
2266.000000	1.549374	0.000000	
2272.000000	1.549367	0.000000	
2278.000000	1.549359	0.000000	
2284.000000	1.549352	0.000000	
2290.000000	1.549345	0.000000	
2296.000000	1.549337	0.000000	
2302.000000	1.549330	0.000000	
2308.000000	1.549323	0.000000	
2314.000000	1.549316	0.000000	
2320.000000	1.549309	0.000000	
2326.000000	1.549302	0.000000	
2332.000000	1.549295	0.000000	
2338.000000	1.549288	0.000000	
2344.000000	1.549281	0.000000	
2350.000000	1.549275	0.000000	
2356.000000	1.549268	0.000000	
2362.000000	1.549261	0.000000	
2368.000000	1.549255	0.000000	
2374.000000	1.549248	0.000000	
2380.000000	1.549242	0.000000	
2386.000000	1.549235	0.000000	
2392.000000	1.549229	0.000000	
2398.000000	1.549223	0.000000	
2404.000000	1.549216	0.000000	
2410.000000	1.549210	0.000000	
2416.000000	1.549204	0.000000	
2422.000000	1.549198	0.000000	
2428.000000	1.549192	0.000000	
2434.000000	1.549186	0.000000	
2440.000000	1.549180	0.000000	
2446.000000	1.549173	0.000000	
2452.000000	1.549168	0.000000	
2458.000000	1.549162	0.000000	
2464.000000	1.549156	0.000000	
2470.000000	1.549150	0.000000	
2476.000000	1.549144	0.000000	
2482.000000	1.549139	0.000000	
2488.000000	1.549133	0.000000	
2494.000000	1.549127	0.000000	
2500.000000	1.549122	0.000000	
