Opt. Const. of Gen-Osc vs. nm
Wavelength (nm)	n	k
407.000000	1.596051	0.000000	
408.000000	1.595787	0.000000	
409.000000	1.595526	0.000000	
410.000000	1.595268	0.000000	
411.000000	1.595011	0.000000	
412.000000	1.594757	0.000000	
413.000000	1.594505	0.000000	
414.000000	1.594255	0.000000	
415.000000	1.594007	0.000000	
416.000000	1.593761	0.000000	
417.000000	1.593518	0.000000	
418.000000	1.593276	0.000000	
419.000000	1.593037	0.000000	
420.000000	1.592799	0.000000	
421.000000	1.592564	0.000000	
422.000000	1.592330	0.000000	
423.000000	1.592098	0.000000	
424.000000	1.591868	0.000000	
425.000000	1.591640	0.000000	
426.000000	1.591414	0.000000	
427.000000	1.591190	0.000000	
428.000000	1.590968	0.000000	
429.000000	1.590747	0.000000	
430.000000	1.590529	0.000000	
431.000000	1.590312	0.000000	
432.000000	1.590096	0.000000	
433.000000	1.589883	0.000000	
434.000000	1.589671	0.000000	
435.000000	1.589461	0.000000	
436.000000	1.589252	0.000000	
437.000000	1.589045	0.000000	
438.000000	1.588840	0.000000	
439.000000	1.588636	0.000000	
440.000000	1.588434	0.000000	
441.000000	1.588234	0.000000	
442.000000	1.588035	0.000000	
443.000000	1.587837	0.000000	
444.000000	1.587642	0.000000	
445.000000	1.587447	0.000000	
446.000000	1.587254	0.000000	
447.000000	1.587063	0.000000	
448.000000	1.586873	0.000000	
449.000000	1.586684	0.000000	
450.000000	1.586497	0.000000	
451.000000	1.586312	0.000000	
452.000000	1.586127	0.000000	
453.000000	1.585944	0.000000	
454.000000	1.585763	0.000000	
455.000000	1.585583	0.000000	
456.000000	1.585404	0.000000	
457.000000	1.585226	0.000000	
458.000000	1.585050	0.000000	
459.000000	1.584875	0.000000	
460.000000	1.584701	0.000000	
461.000000	1.584529	0.000000	
462.000000	1.584358	0.000000	
463.000000	1.584188	0.000000	
464.000000	1.584019	0.000000	
465.000000	1.583852	0.000000	
466.000000	1.583686	0.000000	
467.000000	1.583521	0.000000	
468.000000	1.583357	0.000000	
469.000000	1.583194	0.000000	
470.000000	1.583033	0.000000	
471.000000	1.582872	0.000000	
472.000000	1.582713	0.000000	
473.000000	1.582555	0.000000	
474.000000	1.582398	0.000000	
475.000000	1.582242	0.000000	
476.000000	1.582087	0.000000	
477.000000	1.581933	0.000000	
478.000000	1.581781	0.000000	
479.000000	1.581629	0.000000	
480.000000	1.581479	0.000000	
481.000000	1.581329	0.000000	
482.000000	1.581181	0.000000	
483.000000	1.581033	0.000000	
484.000000	1.580887	0.000000	
485.000000	1.580741	0.000000	
486.000000	1.580597	0.000000	
487.000000	1.580453	0.000000	
488.000000	1.580311	0.000000	
489.000000	1.580169	0.000000	
